date,hospital,ed_trolleys,ward_trolleys,total_trolleys,total_color,surge,delayed,delayed_color,gt_24hrs,gt_75_24hrs
01/01/2026,Nenagh Hospital,,,,none,,3,none,,
01/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
01/01/2026,UH Limerick,1,0,1,green,7,10,none,,
01/01/2026,Galway University Hospital,4,0,4,green,4,38,red,,
01/01/2026,Letterkenny University Hospital,0,4,4,green,12,36,red,1,
01/01/2026,Mayo University Hospital,2,3,5,green,18,7,none,,
01/01/2026,Portiuncula University Hospital,0,0,0,green,0,9,red,,
01/01/2026,Roscommon University Hospital,,,,none,,7,red,,
01/01/2026,Sligo University Hospital,2,3,5,green,17,22,red,,
02/01/2026,National Total,106,33,139,none,321,377,red,11,3
02/01/2026,Beaumont Hospital,0,0,0,green,0,8,none,,
02/01/2026,Cavan General Hospital,0,0,0,green,4,2,none,,
02/01/2026,Connolly Hospital,0,0,0,green,0,2,none,,
02/01/2026,Louth County Hospital,,,,none,,0,none,,
02/01/2026,Mater Misericordiae University Hospital,4,0,4,green,0,7,none,,
02/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
02/01/2026,Our Lady of Lourdes Hospital,0,0,0,green,26,3,none,,
02/01/2026,Our Lady's Hospital Navan,0,0,0,green,5,1,none,,
02/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
02/01/2026,CHI at Tallaght,0,0,0,green,0,0,none,,
02/01/2026,CHI at Temple Street,0,0,0,green,0,1,none,,
02/01/2026,MRH Mullingar,0,0,0,green,0,2,none,,
02/01/2026,MRH Portlaoise,8,0,8,green,0,6,none,,
02/01/2026,MRH Tullamore,0,0,0,green,44,9,red,,
02/01/2026,Naas General Hospital,3,0,3,green,0,10,red,,
02/01/2026,St. James's Hospital,14,0,14,green,0,36,red,,
02/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
02/01/2026,Tallaght University Hospital,0,0,0,green,22,8,none,,
02/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
02/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
02/01/2026,St Luke's General Hospital Kilkenny,2,0,2,green,17,9,red,,
02/01/2026,St. Michael's Hospital,,,,none,,6,red,,
02/01/2026,St. Vincent's University Hospital,3,0,3,green,5,14,none,,
02/01/2026,Tipperary University Hospital,9,0,9,green,23,7,none,2,
02/01/2026,UH Waterford,0,0,0,green,0,13,none,,
02/01/2026,Wexford General Hospital,0,1,1,green,24,5,none,,
02/01/2026,Bantry General Hospital,,,,none,,11,red,,
02/01/2026,Cork University Hospital,14,3,17,red,27,18,none,,
02/01/2026,Mallow General Hospital,,,,none,,8,red,,
02/01/2026,Mercy University Hospital,10,2,12,red,17,12,red,1,1
02/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
02/01/2026,UH Kerry,15,7,22,red,14,23,red,4,2
02/01/2026,Ennis Hospital,,,,none,,3,red,,
02/01/2026,Nenagh Hospital,,,,none,,3,none,,
02/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
02/01/2026,UH Limerick,0,7,7,green,10,10,none,,
02/01/2026,Galway University Hospital,3,0,3,green,22,38,red,,
02/01/2026,Letterkenny University Hospital,11,6,17,red,22,36,red,1,
02/01/2026,Mayo University Hospital,3,6,9,green,17,7,none,3,
02/01/2026,Portiuncula University Hospital,0,0,0,green,0,9,red,,
02/01/2026,Roscommon University Hospital,,,,none,,7,red,,
02/01/2026,Sligo University Hospital,7,1,8,green,22,22,red,,
03/01/2026,National Total,83,16,99,none,252,380,red,12,4
03/01/2026,Beaumont Hospital,0,0,0,green,0,8,none,,
03/01/2026,Cavan General Hospital,0,0,0,green,0,2,none,,
03/01/2026,Connolly Hospital,0,0,0,green,0,5,none,,
03/01/2026,Louth County Hospital,,,,none,,0,none,,
03/01/2026,Mater Misericordiae University Hospital,0,0,0,green,0,6,none,,
03/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
03/01/2026,Our Lady of Lourdes Hospital,0,0,0,green,26,3,none,,
03/01/2026,Our Lady's Hospital Navan,0,0,0,green,0,1,none,,
03/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
03/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
03/01/2026,CHI at Temple Street,1,0,1,green,0,1,none,,
03/01/2026,MRH Mullingar,1,0,1,green,0,2,none,,
03/01/2026,MRH Portlaoise,5,0,5,green,0,7,none,,
03/01/2026,MRH Tullamore,0,0,0,green,35,8,red,,
03/01/2026,Naas General Hospital,0,0,0,green,0,9,red,,
03/01/2026,St. James's Hospital,3,0,3,green,3,37,red,,
03/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
03/01/2026,Tallaght University Hospital,0,0,0,green,6,10,none,,
03/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
03/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
03/01/2026,St Luke's General Hospital Kilkenny,0,0,0,green,14,9,red,,
03/01/2026,St. Michael's Hospital,,,,none,,6,red,,
03/01/2026,St. Vincent's University Hospital,3,0,3,green,15,14,none,,
03/01/2026,Tipperary University Hospital,6,0,6,green,20,6,none,4,
03/01/2026,UH Waterford,0,0,0,green,0,14,none,,
03/01/2026,Wexford General Hospital,2,0,2,green,19,5,none,,
03/01/2026,Bantry General Hospital,,,,none,,11,red,,
03/01/2026,Cork University Hospital,11,2,13,green,14,20,none,1,
03/01/2026,Mallow General Hospital,,,,none,,8,red,,
03/01/2026,Mercy University Hospital,5,0,5,green,14,12,red,1,
03/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
03/01/2026,UH Kerry,18,0,18,red,14,22,red,4,4
03/01/2026,Ennis Hospital,,,,none,,3,red,,
03/01/2026,Nenagh Hospital,,,,none,,3,none,,
03/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
03/01/2026,UH Limerick,1,2,3,green,3,10,none,1,
03/01/2026,Galway University Hospital,6,0,6,green,22,38,red,,
03/01/2026,Letterkenny University Hospital,12,4,16,red,10,33,red,,
03/01/2026,Mayo University Hospital,1,8,9,green,18,9,red,1,
03/01/2026,Portiuncula University Hospital,0,0,0,green,0,9,red,,
03/01/2026,Roscommon University Hospital,,,,none,,7,red,,
03/01/2026,Sligo University Hospital,8,0,8,green,19,20,red,,
04/01/2026,National Total,159,38,197,none,387,377,red,22,1
04/01/2026,Beaumont Hospital,13,0,13,green,9,8,none,,
04/01/2026,Cavan General Hospital,3,0,3,green,17,2,none,,
04/01/2026,Connolly Hospital,0,0,0,green,0,5,none,,
04/01/2026,Louth County Hospital,,,,none,,0,none,,
04/01/2026,Mater Misericordiae University Hospital,11,0,11,green,0,6,none,,
04/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
04/01/2026,Our Lady of Lourdes Hospital,0,0,0,green,32,3,none,,
04/01/2026,Our Lady's Hospital Navan,0,0,0,green,5,1,none,,
04/01/2026,CHI at Crumlin,1,0,1,green,0,1,none,,
04/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
04/01/2026,CHI at Temple Street,1,0,1,green,0,1,none,,
04/01/2026,MRH Mullingar,5,0,5,green,5,2,none,,
04/01/2026,MRH Portlaoise,5,0,5,green,0,7,none,,
04/01/2026,MRH Tullamore,6,0,6,green,43,8,red,,
04/01/2026,Naas General Hospital,3,0,3,green,1,9,red,,
04/01/2026,St. James's Hospital,3,0,3,green,3,37,red,,
04/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
04/01/2026,Tallaght University Hospital,0,0,0,green,14,10,none,,
04/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
04/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
04/01/2026,St Luke's General Hospital Kilkenny,0,0,0,green,24,9,red,,
04/01/2026,St. Michael's Hospital,,,,none,,6,red,,
04/01/2026,St. Vincent's University Hospital,12,0,12,green,15,14,none,,
04/01/2026,Tipperary University Hospital,7,0,7,green,30,6,none,4,
04/01/2026,UH Waterford,0,0,0,green,0,14,none,,
04/01/2026,Wexford General Hospital,8,2,10,amber,33,5,none,,
04/01/2026,Bantry General Hospital,,,,none,,11,red,,
04/01/2026,Cork University Hospital,17,8,25,red,34,20,none,,
04/01/2026,Mallow General Hospital,,,,none,,7,red,,
04/01/2026,Mercy University Hospital,4,0,4,green,14,12,red,,
04/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
04/01/2026,UH Kerry,15,4,19,red,14,22,red,7,1
04/01/2026,Ennis Hospital,,,,none,,3,red,,
04/01/2026,Nenagh Hospital,,,,none,,1,none,,
04/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
04/01/2026,UH Limerick,5,5,10,green,7,10,none,2,
04/01/2026,Galway University Hospital,8,0,8,green,22,38,red,,
04/01/2026,Letterkenny University Hospital,11,7,18,red,19,33,red,2,
04/01/2026,Mayo University Hospital,6,12,18,red,18,9,red,7,
04/01/2026,Portiuncula University Hospital,7,0,7,amber,5,9,red,,
04/01/2026,Roscommon University Hospital,,,,none,,7,red,,
04/01/2026,Sligo University Hospital,8,0,8,green,23,20,red,,
05/01/2026,National Total,261,103,364,red,581,379,red,61,7
05/01/2026,Beaumont Hospital,10,0,10,green,28,8,none,,
05/01/2026,Cavan General Hospital,2,0,2,green,12,2,none,,
05/01/2026,Connolly Hospital,0,0,0,green,7,5,none,,
05/01/2026,Louth County Hospital,,,,none,,0,none,,
05/01/2026,Mater Misericordiae University Hospital,9,0,9,green,15,6,none,2,
05/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
05/01/2026,Our Lady of Lourdes Hospital,10,0,10,green,37,3,none,,
05/01/2026,Our Lady's Hospital Navan,0,0,0,green,16,1,none,,
05/01/2026,CHI at Crumlin,1,0,1,green,0,1,none,,
05/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
05/01/2026,CHI at Temple Street,1,0,1,green,0,1,none,,
05/01/2026,MRH Mullingar,6,0,6,green,15,2,none,,
05/01/2026,MRH Portlaoise,5,0,5,green,0,7,none,,
05/01/2026,MRH Tullamore,0,0,0,green,53,8,red,,
05/01/2026,Naas General Hospital,7,0,7,green,18,9,red,,
05/01/2026,St. James's Hospital,7,0,7,green,0,37,red,,
05/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
05/01/2026,Tallaght University Hospital,3,0,3,green,28,10,none,,
05/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
05/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
05/01/2026,St Luke's General Hospital Kilkenny,5,1,6,green,31,9,red,,
05/01/2026,St. Michael's Hospital,,,,none,,6,red,,
05/01/2026,St. Vincent's University Hospital,18,2,20,red,30,14,none,,
05/01/2026,Tipperary University Hospital,9,0,9,green,34,6,none,5,
05/01/2026,UH Waterford,0,0,0,green,0,14,none,,
05/01/2026,Wexford General Hospital,12,9,21,red,40,5,none,5,1
05/01/2026,Bantry General Hospital,,,,none,,11,red,,
05/01/2026,Cork University Hospital,36,19,55,red,40,20,none,10,2
05/01/2026,Mallow General Hospital,,,,none,,7,red,,
05/01/2026,Mercy University Hospital,8,3,11,red,16,12,red,2,
05/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
05/01/2026,UH Kerry,25,13,38,red,14,22,red,13,4
05/01/2026,Ennis Hospital,,,,none,,3,red,,
05/01/2026,Nenagh Hospital,,,,none,,1,none,,
05/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
05/01/2026,UH Limerick,8,19,27,red,13,10,none,3,
05/01/2026,Galway University Hospital,19,8,27,red,45,38,red,1,
05/01/2026,Letterkenny University Hospital,22,8,30,red,28,33,red,7,
05/01/2026,Mayo University Hospital,13,16,29,red,18,11,red,12,
05/01/2026,Portiuncula University Hospital,11,0,11,red,14,9,red,,
05/01/2026,Roscommon University Hospital,,,,none,,7,red,,
05/01/2026,Sligo University Hospital,14,5,19,red,29,20,red,1,
06/01/2026,National Total,274,88,362,red,607,399,red,61,8
06/01/2026,Beaumont Hospital,20,0,20,red,31,10,none,,
06/01/2026,Cavan General Hospital,6,0,6,green,14,2,none,,
06/01/2026,Connolly Hospital,4,0,4,green,11,6,none,,
06/01/2026,Louth County Hospital,,,,none,,0,none,,
06/01/2026,Mater Misericordiae University Hospital,10,0,10,green,19,8,none,,
06/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
06/01/2026,Our Lady of Lourdes Hospital,14,0,14,green,33,4,none,,
06/01/2026,Our Lady's Hospital Navan,0,0,0,green,27,1,none,,
06/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
06/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
06/01/2026,CHI at Temple Street,0,0,0,green,0,1,none,,
06/01/2026,MRH Mullingar,7,4,11,red,25,1,none,,
06/01/2026,MRH Portlaoise,8,0,8,green,0,6,none,,
06/01/2026,MRH Tullamore,0,0,0,green,47,9,red,,
06/01/2026,Naas General Hospital,2,0,2,green,17,9,red,,
06/01/2026,St. James's Hospital,14,0,14,green,17,36,red,,
06/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
06/01/2026,Tallaght University Hospital,5,0,5,green,28,12,none,,
06/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
06/01/2026,St. Columcille's Hospital,,,,none,,6,red,,
06/01/2026,St Luke's General Hospital Kilkenny,0,3,3,green,26,9,red,,
06/01/2026,St. Michael's Hospital,,,,none,,6,red,,
06/01/2026,St. Vincent's University Hospital,18,2,20,red,35,14,none,1,
06/01/2026,Tipperary University Hospital,8,0,8,green,33,7,none,3,
06/01/2026,UH Waterford,0,0,0,green,0,19,none,,
06/01/2026,Wexford General Hospital,3,3,6,green,33,8,none,1,
06/01/2026,Bantry General Hospital,,,,none,,12,red,,
06/01/2026,Cork University Hospital,32,7,39,red,39,20,none,7,5
06/01/2026,Mallow General Hospital,,,,none,,5,red,,
06/01/2026,Mercy University Hospital,15,4,19,red,17,13,red,3,
06/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
06/01/2026,UH Kerry,21,7,28,red,14,22,red,12,3
06/01/2026,Ennis Hospital,,,,none,,4,red,,
06/01/2026,Nenagh Hospital,,,,none,,2,none,,
06/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
06/01/2026,UH Limerick,14,21,35,red,13,10,none,5,
06/01/2026,Galway University Hospital,22,6,28,red,51,38,red,1,
06/01/2026,Letterkenny University Hospital,14,8,22,red,27,36,red,8,
06/01/2026,Mayo University Hospital,6,13,19,red,18,16,red,12,
06/01/2026,Portiuncula University Hospital,7,0,7,amber,16,7,none,,
06/01/2026,Roscommon University Hospital,,,,none,,4,none,,
06/01/2026,Sligo University Hospital,24,10,34,red,16,21,red,8,
07/01/2026,National Total,286,142,428,red,673,394,red,56,4
07/01/2026,Beaumont Hospital,14,0,14,green,31,9,none,,
07/01/2026,Cavan General Hospital,6,0,6,green,7,2,none,,
07/01/2026,Connolly Hospital,0,0,0,green,12,6,none,,
07/01/2026,Louth County Hospital,,,,none,,0,none,,
07/01/2026,Mater Misericordiae University Hospital,13,0,13,green,25,7,none,,
07/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
07/01/2026,Our Lady of Lourdes Hospital,20,0,20,red,37,3,none,,
07/01/2026,Our Lady's Hospital Navan,0,0,0,green,31,1,none,,
07/01/2026,CHI at Crumlin,2,0,2,green,0,1,none,,
07/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
07/01/2026,CHI at Temple Street,0,0,0,green,0,0,none,,
07/01/2026,MRH Mullingar,8,1,9,green,25,1,none,,
07/01/2026,MRH Portlaoise,5,0,5,green,10,5,none,,
07/01/2026,MRH Tullamore,0,0,0,green,43,9,red,,
07/01/2026,Naas General Hospital,12,2,14,red,19,8,none,,
07/01/2026,St. James's Hospital,14,0,14,green,23,39,red,,
07/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
07/01/2026,Tallaght University Hospital,17,9,26,red,29,12,none,4,
07/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
07/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
07/01/2026,St Luke's General Hospital Kilkenny,3,3,6,green,27,11,red,,
07/01/2026,St. Michael's Hospital,,,,none,,6,red,,
07/01/2026,St. Vincent's University Hospital,11,3,14,green,35,14,none,,
07/01/2026,Tipperary University Hospital,5,0,5,green,31,9,red,2,
07/01/2026,UH Waterford,0,0,0,green,13,18,none,,
07/01/2026,Wexford General Hospital,7,5,12,red,26,6,none,2,
07/01/2026,Bantry General Hospital,,,,none,,12,red,,
07/01/2026,Cork University Hospital,29,18,47,red,50,18,none,5,1
07/01/2026,Mallow General Hospital,,,,none,,5,red,,
07/01/2026,Mercy University Hospital,16,9,25,red,23,11,red,3,
07/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
07/01/2026,UH Kerry,23,9,32,red,14,19,red,12,2
07/01/2026,Ennis Hospital,,,,none,,4,red,,
07/01/2026,Nenagh Hospital,,,,none,,2,none,,
07/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
07/01/2026,UH Limerick,5,32,37,red,23,9,none,6,
07/01/2026,Galway University Hospital,33,19,52,red,54,38,red,,
07/01/2026,Letterkenny University Hospital,9,4,13,red,26,39,red,2,1
07/01/2026,Mayo University Hospital,11,17,28,red,18,13,red,9,
07/01/2026,Portiuncula University Hospital,10,0,10,amber,22,7,none,,
07/01/2026,Roscommon University Hospital,,,,none,,4,none,,
07/01/2026,Sligo University Hospital,13,11,24,red,19,25,red,11,
08/01/2026,National Total,305,137,442,red,691,428,red,75,14
08/01/2026,Beaumont Hospital,14,0,14,green,30,8,none,,
08/01/2026,Cavan General Hospital,7,0,7,green,12,2,none,,
08/01/2026,Connolly Hospital,6,0,6,green,13,6,none,,
08/01/2026,Louth County Hospital,,,,none,,0,none,,
08/01/2026,Mater Misericordiae University Hospital,13,0,13,green,25,9,none,,
08/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
08/01/2026,Our Lady of Lourdes Hospital,15,0,15,amber,52,3,none,,
08/01/2026,Our Lady's Hospital Navan,0,0,0,green,24,1,none,,
08/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
08/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
08/01/2026,CHI at Temple Street,0,0,0,green,0,0,none,,
08/01/2026,MRH Mullingar,1,0,1,green,24,1,none,,
08/01/2026,MRH Portlaoise,9,0,9,green,22,6,none,,
08/01/2026,MRH Tullamore,0,0,0,green,37,9,red,,
08/01/2026,Naas General Hospital,5,0,5,green,16,9,red,,
08/01/2026,St. James's Hospital,25,0,25,red,21,38,red,,
08/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
08/01/2026,Tallaght University Hospital,4,4,8,green,28,11,none,3,
08/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
08/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
08/01/2026,St Luke's General Hospital Kilkenny,7,7,14,red,32,12,red,,
08/01/2026,St. Michael's Hospital,,,,none,,6,red,,
08/01/2026,St. Vincent's University Hospital,12,2,14,green,35,13,none,3,
08/01/2026,Tipperary University Hospital,11,0,11,red,37,10,red,5,
08/01/2026,UH Waterford,0,0,0,green,15,22,red,,
08/01/2026,Wexford General Hospital,4,4,8,green,32,7,none,1,
08/01/2026,Bantry General Hospital,,,,none,,11,red,,
08/01/2026,Cork University Hospital,44,11,55,red,48,27,red,6,4
08/01/2026,Mallow General Hospital,,,,none,,5,red,,
08/01/2026,Mercy University Hospital,23,7,30,red,22,13,red,10,5
08/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
08/01/2026,UH Kerry,22,9,31,red,14,33,red,10,2
08/01/2026,Ennis Hospital,,,,none,,3,red,,
08/01/2026,Nenagh Hospital,,,,none,,2,none,,
08/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
08/01/2026,UH Limerick,6,40,46,red,8,9,none,12,
08/01/2026,Galway University Hospital,30,21,51,red,53,36,red,7,3
08/01/2026,Letterkenny University Hospital,18,7,25,red,28,36,red,2,
08/01/2026,Mayo University Hospital,6,15,21,red,17,15,red,12,
08/01/2026,Portiuncula University Hospital,8,0,8,amber,26,9,red,,
08/01/2026,Roscommon University Hospital,,,,none,,8,red,,
08/01/2026,Sligo University Hospital,15,10,25,red,20,26,red,4,
09/01/2026,National Total,246,153,399,red,690,435,red,87,3
09/01/2026,Beaumont Hospital,20,0,20,red,27,7,none,,
09/01/2026,Cavan General Hospital,2,0,2,green,12,2,none,,
09/01/2026,Connolly Hospital,0,0,0,green,11,6,none,,
09/01/2026,Louth County Hospital,,,,none,,0,none,,
09/01/2026,Mater Misericordiae University Hospital,21,0,21,red,25,9,none,,
09/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
09/01/2026,Our Lady of Lourdes Hospital,12,0,12,green,44,2,none,,
09/01/2026,Our Lady's Hospital Navan,0,0,0,green,27,1,none,,
09/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
09/01/2026,CHI at Tallaght,0,0,0,green,0,1,none,,
09/01/2026,CHI at Temple Street,0,0,0,green,0,0,none,,
09/01/2026,MRH Mullingar,2,0,2,green,23,1,none,,
09/01/2026,MRH Portlaoise,1,0,1,green,13,6,none,,
09/01/2026,MRH Tullamore,0,0,0,green,30,10,red,,
09/01/2026,Naas General Hospital,1,0,1,green,0,8,none,,
09/01/2026,St. James's Hospital,13,0,13,green,23,37,red,,
09/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
09/01/2026,Tallaght University Hospital,7,7,14,green,28,12,none,2,
09/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
09/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
09/01/2026,St Luke's General Hospital Kilkenny,1,5,6,green,29,13,red,,
09/01/2026,St. Michael's Hospital,,,,none,,6,red,,
09/01/2026,St. Vincent's University Hospital,14,0,14,green,35,13,none,2,
09/01/2026,Tipperary University Hospital,16,0,16,red,38,12,red,6,
09/01/2026,UH Waterford,0,0,0,green,20,24,red,,
09/01/2026,Wexford General Hospital,6,5,11,red,33,6,none,1,
09/01/2026,Bantry General Hospital,,,,none,,10,red,,
09/01/2026,Cork University Hospital,29,19,48,red,48,30,red,6,
09/01/2026,Mallow General Hospital,,,,none,,6,red,,
09/01/2026,Mercy University Hospital,20,6,26,red,22,14,red,5,1
09/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
09/01/2026,UH Kerry,17,9,26,red,20,35,red,12,
09/01/2026,Ennis Hospital,,,,none,,3,red,,
09/01/2026,Nenagh Hospital,,,,none,,2,none,,
09/01/2026,St. John's Hospital Limerick,,,,none,,4,red,,
09/01/2026,UH Limerick,9,53,62,red,43,9,none,18,
09/01/2026,Galway University Hospital,30,15,45,red,53,37,red,10,2
09/01/2026,Letterkenny University Hospital,12,7,19,red,27,32,red,6,
09/01/2026,Mayo University Hospital,4,16,20,red,18,15,red,12,
09/01/2026,Portiuncula University Hospital,2,0,2,green,19,9,red,,
09/01/2026,Roscommon University Hospital,,,,none,,9,red,,
09/01/2026,Sligo University Hospital,7,11,18,red,22,27,red,7,
10/01/2026,National Total,205,103,308,none,584,424,red,50,2
10/01/2026,Beaumont Hospital,11,0,11,green,21,8,none,,
10/01/2026,Cavan General Hospital,4,0,4,green,13,2,none,,
10/01/2026,Connolly Hospital,0,0,0,green,0,6,none,,
10/01/2026,Louth County Hospital,,,,none,,0,none,,
10/01/2026,Mater Misericordiae University Hospital,11,0,11,green,19,9,none,,
10/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
10/01/2026,Our Lady of Lourdes Hospital,5,0,5,green,36,3,none,,
10/01/2026,Our Lady's Hospital Navan,0,0,0,green,22,1,none,,
10/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
10/01/2026,CHI at Tallaght,0,0,0,green,0,0,none,,
10/01/2026,CHI at Temple Street,0,0,0,green,0,0,none,,
10/01/2026,MRH Mullingar,1,0,1,green,15,2,none,,
10/01/2026,MRH Portlaoise,4,0,4,green,11,5,none,,
10/01/2026,MRH Tullamore,0,0,0,green,21,10,red,,
10/01/2026,Naas General Hospital,6,0,6,green,11,9,red,,
10/01/2026,St. James's Hospital,11,0,11,green,7,37,red,,
10/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
10/01/2026,Tallaght University Hospital,11,1,12,green,28,12,none,,
10/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
10/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
10/01/2026,St Luke's General Hospital Kilkenny,0,0,0,green,19,13,red,,
10/01/2026,St. Michael's Hospital,,,,none,,6,red,,
10/01/2026,St. Vincent's University Hospital,11,2,13,green,45,13,none,1,
10/01/2026,Tipperary University Hospital,9,0,9,green,37,7,none,6,
10/01/2026,UH Waterford,0,0,0,green,0,19,none,,
10/01/2026,Wexford General Hospital,6,5,11,red,31,5,none,1,
10/01/2026,Bantry General Hospital,,,,none,,10,red,,
10/01/2026,Cork University Hospital,21,13,34,red,39,30,red,2,1
10/01/2026,Mallow General Hospital,,,,none,,6,red,,
10/01/2026,Mercy University Hospital,14,7,21,red,22,14,red,2,
10/01/2026,South Infirmary Victoria University Hospital,,,,none,,3,none,,
10/01/2026,UH Kerry,23,4,27,red,21,33,red,5,1
