Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
02/06/2024,HSE South West Total,17,0,17,38,78,2,0,
02/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
02/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
02/06/2024,UH Limerick,6,23,29,34,13,4,1,HSE Mid West
02/06/2024,HSE Mid West Total,6,23,29,34,24,4,1,
02/06/2024,Letterkenny University Hospital,2,0,2,0,28,,,HSE West & North West
02/06/2024,Mayo University Hospital,3,1,4,0,4,,,HSE West & North West
02/06/2024,Portiuncula University Hospital,0,0,0,0,4,,,HSE West & North West
02/06/2024,Roscommon University Hospital,,,,,6,,,HSE West & North West
02/06/2024,Sligo University Hospital,3,6,9,10,26,2,,HSE West & North West
02/06/2024,HSE West and North West Total,21,7,28,33,99,3,1,
02/06/2024,National Total,90,30,120,248,400,12,3,
03/06/2024,Cavan General Hospital,3,0,3,5,0,,,HSE Dublin & North East
03/06/2024,Connolly Hospital,2,0,2,0,5,,,HSE Dublin & North East
03/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
03/06/2024,Mater Misericordiae University Hospital,9,0,9,8,18,,,HSE Dublin & North East
03/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
03/06/2024,Our Lady of Lourdes Hospital,9,,9,14,1,,,HSE Dublin & North East
03/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
03/06/2024,HSE Dublin and North East Total,23,0,23,38,35,0,0,
03/06/2024,CHI at Tallaght,0,0,0,0,2,,,HSE Dublin & Midlands
03/06/2024,CHI at Temple Street,0,0,0,0,3,,,HSE Dublin & Midlands
03/06/2024,MRH Mullingar,2,0,2,7,1,,,HSE Dublin & Midlands
03/06/2024,MRH Portlaoise,0,0,0,4,5,,,HSE Dublin & Midlands
03/06/2024,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
03/06/2024,Naas General Hospital,6,0,6,0,10,,,HSE Dublin & Midlands
03/06/2024,St. James's Hospital,6,0,6,19,36,1,,HSE Dublin & Midlands
03/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
03/06/2024,Tallaght University Hospital,15,0,15,17,15,5,,HSE Dublin & Midlands
03/06/2024,HSE Dublin and Midlands Total,29,0,29,47,79,6,0,
03/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
03/06/2024,St Luke's General Hospital Kilkenny,0,0,0,19,7,,,
03/06/2024,St. Michael's Hospital,,,,,3,,,HSE Dublin & South East
03/06/2024,St. Vincent's University Hospital,25,0,25,50,28,3,2,HSE Dublin & South East
03/06/2024,Tipperary University Hospital,0,0,0,0,12,,,HSE Dublin & South East
03/06/2024,UH Waterford,0,0,0,0,15,,,HSE Dublin & South East
03/06/2024,Wexford General Hospital,1,5,6,11,8,,,HSE Dublin & South East
03/06/2024,HSE Dublin and South East Total,26,5,31,80,85,3,2,
03/06/2024,Cork University Hospital,23,2,25,22,35,1,,HSE South West
03/06/2024,Mallow General Hospital,,,,,3,,,HSE South West
03/06/2024,Mercy University Hospital,4,0,4,7,11,,,HSE South West
03/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
03/06/2024,UH Kerry,17,0,17,14,21,2,,HSE South West
03/06/2024,HSE South West Total,44,2,46,43,79,3,0,
03/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
03/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
03/06/2024,UH Limerick,18,30,48,32,13,17,3,HSE Mid West
03/06/2024,HSE Mid West Total,18,30,48,32,24,17,3,
03/06/2024,Letterkenny University Hospital,0,1,1,5,28,1,,HSE West & North West
03/06/2024,Mayo University Hospital,1,7,8,0,4,1,,HSE West & North West
03/06/2024,Portiuncula University Hospital,2,0,2,0,4,,,HSE West & North West
03/06/2024,Roscommon University Hospital,,,,,6,,,HSE West & North West
03/06/2024,Sligo University Hospital,3,8,11,11,26,4,,HSE West & North West
03/06/2024,HSE West and North West Total,22,17,39,36,99,6,0,
03/06/2024,National Total,162,54,216,276,401,35,5,
04/06/2024,Cavan General Hospital,12,0,12,7,0,1,1,HSE Dublin & North East
04/06/2024,Connolly Hospital,10,0,10,4,5,,,HSE Dublin & North East
04/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
04/06/2024,Mater Misericordiae University Hospital,14,0,14,23,18,,,HSE Dublin & North East
04/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
04/06/2024,Our Lady of Lourdes Hospital,19,0,19,22,1,,,HSE Dublin & North East
04/06/2024,Our Lady's Hospital Navan,2,0,2,0,0,,,HSE Dublin & North East
04/06/2024,HSE Dublin and North East Total,57,0,57,58,35,1,1,
04/06/2024,CHI at Tallaght,0,,0,,2,,,HSE Dublin & Midlands
04/06/2024,CHI at Temple Street,1,,1,0,3,,,HSE Dublin & Midlands
04/06/2024,MRH Mullingar,7,0,7,15,1,,,HSE Dublin & Midlands
04/06/2024,MRH Portlaoise,2,0,2,7,5,,,HSE Dublin & Midlands
04/06/2024,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
04/06/2024,Naas General Hospital,11,3,14,10,10,,,HSE Dublin & Midlands
04/06/2024,St. James's Hospital,23,0,23,20,36,,,HSE Dublin & Midlands
04/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
04/06/2024,Tallaght University Hospital,29,8,37,18,15,8,,HSE Dublin & Midlands
04/06/2024,HSE Dublin and Midlands Total,75,11,86,70,79,8,0,
04/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
04/06/2024,St Luke's General Hospital Kilkenny,7,0,7,42,7,,,
04/06/2024,St. Michael's Hospital,,,,,3,,,HSE Dublin & South East
04/06/2024,St. Vincent's University Hospital,22,0,22,50,28,6,1,HSE Dublin & South East
04/06/2024,Tipperary University Hospital,4,0,4,0,12,,,HSE Dublin & South East
04/06/2024,UH Waterford,0,0,0,2,15,,,HSE Dublin & South East
04/06/2024,Wexford General Hospital,4,6,10,14,8,4,,HSE Dublin & South East
04/06/2024,HSE Dublin and South East Total,37,6,43,108,85,10,1,
04/06/2024,Cork University Hospital,28,10,38,24,35,9,1,HSE South West
04/06/2024,Mallow General Hospital,,,,,3,,,HSE South West
04/06/2024,Mercy University Hospital,17,0,17,7,11,3,,HSE South West
04/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
04/06/2024,UH Kerry,23,7,30,14,21,10,,HSE South West
04/06/2024,HSE South West Total,68,17,85,45,79,22,1,
04/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
04/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
04/06/2024,UH Limerick,27,39,66,44,13,27,3,HSE Mid West
04/06/2024,HSE Mid West Total,27,39,66,44,23,27,3,
04/06/2024,Letterkenny University Hospital,2,1,3,7,28,1,,HSE West & North West
04/06/2024,Mayo University Hospital,8,12,20,0,4,8,,HSE West & North West
04/06/2024,Portiuncula University Hospital,2,0,2,1,4,,,HSE West & North West
04/06/2024,Roscommon University Hospital,,,,,6,,,HSE West & North West
04/06/2024,Sligo University Hospital,4,13,17,15,26,5,,HSE West & North West
04/06/2024,HSE West and North West Total,30,34,64,43,99,15,0,
04/06/2024,National Total,294,107,401,368,400,83,6,
05/06/2024,Cavan General Hospital,15,0,15,11,0,,,HSE Dublin & North East
05/06/2024,Connolly Hospital,9,0,9,8,5,,,HSE Dublin & North East
05/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
05/06/2024,Mater Misericordiae University Hospital,14,,14,23,14,,,HSE Dublin & North East
05/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
05/06/2024,Our Lady of Lourdes Hospital,28,0,28,25,1,,,HSE Dublin & North East
05/06/2024,Our Lady's Hospital Navan,2,0,2,4,0,,,HSE Dublin & North East
05/06/2024,HSE Dublin and North East Total,73,0,73,89,30,0,0,
05/06/2024,CHI at Tallaght,0,0,0,0,1,,,HSE Dublin & Midlands
05/06/2024,CHI at Temple Street,0,0,0,0,3,,,HSE Dublin & Midlands
05/06/2024,MRH Mullingar,13,4,17,7,0,1,,HSE Dublin & Midlands
05/06/2024,MRH Portlaoise,1,0,1,0,4,,,HSE Dublin & Midlands
05/06/2024,MRH Tullamore,0,0,0,19,4,,,HSE Dublin & Midlands
05/06/2024,Naas General Hospital,6,3,9,7,9,1,1,HSE Dublin & Midlands
05/06/2024,St. James's Hospital,31,0,31,20,34,,,HSE Dublin & Midlands
05/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
05/06/2024,Tallaght University Hospital,33,12,45,19,15,19,2,HSE Dublin & Midlands
05/06/2024,HSE Dublin and Midlands Total,85,19,104,72,73,21,3,
05/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
05/06/2024,St Luke's General Hospital Kilkenny,8,4,12,46,8,,,
05/06/2024,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
05/06/2024,St. Vincent's University Hospital,19,0,19,45,29,,,HSE Dublin & South East
05/06/2024,Tipperary University Hospital,6,0,6,6,13,,,HSE Dublin & South East
05/06/2024,UH Waterford,0,0,0,1,11,,,HSE Dublin & South East
05/06/2024,Wexford General Hospital,3,10,13,20,8,4,2,HSE Dublin & South East
05/06/2024,HSE Dublin and South East Total,36,14,50,118,84,4,2,
05/06/2024,Cork University Hospital,23,12,35,21,37,3,,HSE South West
05/06/2024,Mallow General Hospital,,,,,3,,,HSE South West
05/06/2024,Mercy University Hospital,16,0,16,10,9,1,,HSE South West
05/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
05/06/2024,UH Kerry,18,4,22,0,18,6,2,HSE South West
05/06/2024,HSE South West Total,57,16,73,31,76,10,2,
05/06/2024,Nenagh Hospital,,,,,3,,,HSE Mid West
05/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
05/06/2024,UH Limerick,22,36,58,43,13,18,9,HSE Mid West
05/06/2024,HSE Mid West Total,22,36,58,43,22,18,9,
05/06/2024,Letterkenny University Hospital,2,2,4,7,22,1,,HSE West & North West
05/06/2024,Mayo University Hospital,5,10,15,0,7,9,,HSE West & North West
05/06/2024,Portiuncula University Hospital,3,0,3,0,4,,,HSE West & North West
05/06/2024,Roscommon University Hospital,,,,,4,,,HSE West & North West
05/06/2024,Sligo University Hospital,12,16,28,11,23,5,,HSE West & North West
05/06/2024,HSE West and North West Total,40,35,75,35,99,19,0,
05/06/2024,National Total,313,120,433,388,384,72,16,
06/06/2024,Cavan General Hospital,9,0,9,0,0,,,HSE Dublin & North East
06/06/2024,Connolly Hospital,3,0,3,4,5,,,HSE Dublin & North East
06/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
06/06/2024,Mater Misericordiae University Hospital,17,0,17,8,17,,,HSE Dublin & North East
06/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
06/06/2024,Our Lady of Lourdes Hospital,16,0,16,27,1,,,HSE Dublin & North East
06/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
06/06/2024,HSE Dublin and North East Total,61,0,61,49,30,0,0,
06/06/2024,CHI at Tallaght,0,0,0,0,1,,,HSE Dublin & Midlands
06/06/2024,CHI at Temple Street,1,0,1,0,3,,,HSE Dublin & Midlands
06/06/2024,MRH Mullingar,5,0,5,15,0,,,HSE Dublin & Midlands
06/06/2024,MRH Portlaoise,1,0,1,0,3,,,HSE Dublin & Midlands
06/06/2024,MRH Tullamore,0,0,0,21,4,,,HSE Dublin & Midlands
06/06/2024,Naas General Hospital,11,4,15,8,9,,,HSE Dublin & Midlands
06/06/2024,St. James's Hospital,22,0,22,29,34,1,1,HSE Dublin & Midlands
06/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
06/06/2024,Tallaght University Hospital,29,7,36,19,14,14,2,HSE Dublin & Midlands
06/06/2024,HSE Dublin and Midlands Total,76,11,87,92,71,15,3,
06/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
06/06/2024,St Luke's General Hospital Kilkenny,8,2,10,35,8,,,
06/06/2024,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
06/06/2024,St. Vincent's University Hospital,24,0,24,50,28,2,2,HSE Dublin & South East
06/06/2024,Tipperary University Hospital,4,0,4,6,13,1,,HSE Dublin & South East
06/06/2024,UH Waterford,0,0,0,5,14,,,HSE Dublin & South East
06/06/2024,Wexford General Hospital,4,7,11,17,10,4,,HSE Dublin & South East
06/06/2024,HSE Dublin and South East Total,40,9,49,113,87,7,2,
06/06/2024,Cork University Hospital,20,6,26,19,32,1,,HSE South West
06/06/2024,Mallow General Hospital,,,,,2,,,HSE South West
06/06/2024,Mercy University Hospital,6,2,8,8,10,,,HSE South West
06/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
06/06/2024,UH Kerry,16,0,16,14,17,1,,HSE South West
06/06/2024,HSE South West Total,42,8,50,41,70,2,0,
06/06/2024,Nenagh Hospital,,,,,3,,,HSE Mid West
06/06/2024,St. John's Hospital Limerick,,,,,2,,,HSE Mid West
06/06/2024,UH Limerick,22,33,55,42,10,13,6,HSE Mid West
06/06/2024,HSE Mid West Total,22,33,55,42,20,13,6,
06/06/2024,Letterkenny University Hospital,11,5,16,5,20,2,,HSE West & North West
06/06/2024,Mayo University Hospital,2,7,9,3,8,5,,HSE West & North West
06/06/2024,Portiuncula University Hospital,0,0,0,0,4,,,HSE West & North West
06/06/2024,Roscommon University Hospital,,,,,6,,,HSE West & North West
06/06/2024,Sligo University Hospital,4,16,20,12,24,7,,HSE West & North West
06/06/2024,HSE West and North West Total,36,36,72,35,98,16,0,
06/06/2024,National Total,277,97,374,372,376,53,11,
07/06/2024,Cavan General Hospital,3,0,3,5,0,,,HSE Dublin & North East
07/06/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
07/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
07/06/2024,Mater Misericordiae University Hospital,21,0,21,8,17,4,,HSE Dublin & North East
07/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
07/06/2024,Our Lady of Lourdes Hospital,4,0,4,26,1,,,HSE Dublin & North East
07/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
07/06/2024,HSE Dublin and North East Total,28,0,28,39,30,4,0,
07/06/2024,CHI at Tallaght,0,0,0,0,1,,,HSE Dublin & Midlands
07/06/2024,CHI at Temple Street,0,0,0,0,4,,,HSE Dublin & Midlands
07/06/2024,MRH Mullingar,1,0,1,0,0,,,HSE Dublin & Midlands
07/06/2024,MRH Portlaoise,13,0,13,10,4,,,HSE Dublin & Midlands
07/06/2024,MRH Tullamore,0,0,0,13,5,,,HSE Dublin & Midlands
07/06/2024,Naas General Hospital,7,3,10,2,10,,,HSE Dublin & Midlands
07/06/2024,St. James's Hospital,30,0,30,20,35,5,,HSE Dublin & Midlands
07/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
07/06/2024,Tallaght University Hospital,18,5,23,19,14,6,,HSE Dublin & Midlands
07/06/2024,HSE Dublin and Midlands Total,72,8,80,64,76,11,0,
07/06/2024,St. Columcille's Hospital,,,,,4,,,HSE Dublin & South East
07/06/2024,St Luke's General Hospital Kilkenny,4,0,4,38,7,,,
07/06/2024,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
07/06/2024,St. Vincent's University Hospital,8,0,8,50,25,3,,HSE Dublin & South East
07/06/2024,Tipperary University Hospital,4,0,4,2,15,1,,HSE Dublin & South East
07/06/2024,UH Waterford,0,0,0,0,15,,,HSE Dublin & South East
07/06/2024,Wexford General Hospital,0,1,1,15,11,1,,HSE Dublin & South East
07/06/2024,HSE Dublin and South East Total,16,1,17,105,88,5,0,
07/06/2024,Cork University Hospital,22,7,29,24,34,2,,HSE South West
07/06/2024,Mallow General Hospital,,,,,3,,,HSE South West
07/06/2024,Mercy University Hospital,11,0,11,9,9,,,HSE South West
07/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
07/06/2024,UH Kerry,14,7,21,14,23,3,,HSE South West
07/06/2024,HSE South West Total,47,14,61,47,80,5,0,
07/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
07/06/2024,St. John's Hospital Limerick,,,,,2,,,HSE Mid West
07/06/2024,UH Limerick,6,28,34,28,9,6,6,HSE Mid West
07/06/2024,HSE Mid West Total,6,28,34,28,20,6,6,
07/06/2024,Letterkenny University Hospital,5,7,12,8,22,2,,HSE West & North West
07/06/2024,Mayo University Hospital,4,11,15,0,8,3,,HSE West & North West
07/06/2024,Portiuncula University Hospital,1,0,1,0,4,,,HSE West & North West
07/06/2024,Roscommon University Hospital,,,,,5,,,HSE West & North West
07/06/2024,Sligo University Hospital,2,12,14,12,27,7,,HSE West & North West
07/06/2024,HSE West and North West Total,36,42,78,35,104,14,2,
07/06/2024,National Total,205,93,298,318,398,45,8,
08/06/2024,Cavan General Hospital,0,0,0,10,0,,,HSE Dublin & North East
08/06/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
08/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
08/06/2024,Mater Misericordiae University Hospital,8,0,8,11,17,,,HSE Dublin & North East
08/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
08/06/2024,Our Lady of Lourdes Hospital,0,0,0,6,1,,,HSE Dublin & North East
08/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
08/06/2024,HSE Dublin and North East Total,18,0,18,27,32,0,0,
08/06/2024,CHI at Tallaght,0,0,0,,1,,,HSE Dublin & Midlands
08/06/2024,CHI at Temple Street,0,,0,,4,,,HSE Dublin & Midlands
08/06/2024,MRH Mullingar,0,0,0,4,0,,,HSE Dublin & Midlands
08/06/2024,MRH Portlaoise,0,0,0,10,6,,,HSE Dublin & Midlands
08/06/2024,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
08/06/2024,Naas General Hospital,3,4,7,4,8,,,HSE Dublin & Midlands
08/06/2024,St. James's Hospital,9,0,9,20,38,1,,HSE Dublin & Midlands
08/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
08/06/2024,Tallaght University Hospital,8,0,8,10,14,5,1,HSE Dublin & Midlands
08/06/2024,HSE Dublin and Midlands Total,21,4,25,48,78,6,1,
08/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
08/06/2024,St Luke's General Hospital Kilkenny,0,0,0,0,8,,,
08/06/2024,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
08/06/2024,St. Vincent's University Hospital,3,0,3,50,24,,,HSE Dublin & South East
08/06/2024,Tipperary University Hospital,1,0,1,0,14,,,HSE Dublin & South East
08/06/2024,UH Waterford,0,0,0,0,16,,,HSE Dublin & South East
08/06/2024,Wexford General Hospital,0,2,2,4,8,,,HSE Dublin & South East
08/06/2024,HSE Dublin and South East Total,4,2,6,54,83,0,0,
08/06/2024,Cork University Hospital,9,0,9,10,34,1,,HSE South West
08/06/2024,Mallow General Hospital,,,,,5,,,HSE South West
08/06/2024,Mercy University Hospital,14,0,14,11,7,1,,HSE South West
08/06/2024,South Infirmary Victoria University Hospital,,,,,4,,,HSE South West
08/06/2024,UH Kerry,9,0,9,14,24,,,HSE South West
08/06/2024,HSE South West Total,32,0,32,35,80,2,0,
08/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
08/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
08/06/2024,UH Limerick,3,10,13,24,10,,,HSE Mid West
08/06/2024,HSE Mid West Total,3,10,13,24,20,0,0,
08/06/2024,Letterkenny University Hospital,0,3,3,1,20,2,,HSE West & North West
08/06/2024,Mayo University Hospital,0,0,0,0,10,,,HSE West & North West
08/06/2024,Portiuncula University Hospital,0,0,0,0,4,,,HSE West & North West
08/06/2024,Roscommon University Hospital,,,,,5,,,HSE West & North West
08/06/2024,Sligo University Hospital,2,2,4,9,27,1,,HSE West & North West
08/06/2024,HSE West and North West Total,7,5,12,30,103,3,0,
08/06/2024,National Total,85,21,106,218,396,11,1,
09/06/2024,Cavan General Hospital,4,0,4,10,0,,,HSE Dublin & North East
09/06/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
09/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
09/06/2024,Mater Misericordiae University Hospital,9,0,9,12,17,,,HSE Dublin & North East
09/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
09/06/2024,Our Lady of Lourdes Hospital,5,0,5,19,1,,,HSE Dublin & North East
09/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
09/06/2024,HSE Dublin and North East Total,18,0,18,41,32,0,0,
09/06/2024,CHI at Tallaght,0,0,0,,1,,,HSE Dublin & Midlands
09/06/2024,CHI at Temple Street,0,,0,,4,,,HSE Dublin & Midlands
09/06/2024,MRH Mullingar,0,0,0,2,0,,,HSE Dublin & Midlands
09/06/2024,MRH Portlaoise,2,0,2,10,6,,,HSE Dublin & Midlands
09/06/2024,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
09/06/2024,Naas General Hospital,14,4,18,7,8,1,,HSE Dublin & Midlands
09/06/2024,St. James's Hospital,16,0,16,20,38,2,,HSE Dublin & Midlands
09/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
09/06/2024,Tallaght University Hospital,12,0,12,10,14,4,,HSE Dublin & Midlands
09/06/2024,HSE Dublin and Midlands Total,45,4,49,49,78,7,0,
09/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
09/06/2024,St Luke's General Hospital Kilkenny,0,0,0,27,8,,,
09/06/2024,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
09/06/2024,St. Vincent's University Hospital,10,0,10,50,24,,,HSE Dublin & South East
09/06/2024,Tipperary University Hospital,9,0,9,0,14,,,HSE Dublin & South East
09/06/2024,UH Waterford,0,0,0,0,16,,,HSE Dublin & South East
09/06/2024,Wexford General Hospital,1,1,2,5,8,,,HSE Dublin & South East
09/06/2024,HSE Dublin and South East Total,20,1,21,82,83,0,0,
09/06/2024,Cork University Hospital,12,3,15,10,34,2,,HSE South West
09/06/2024,Mallow General Hospital,,,,,5,,,HSE South West
09/06/2024,Mercy University Hospital,15,0,15,11,7,3,,HSE South West
09/06/2024,South Infirmary Victoria University Hospital,,,,,4,,,HSE South West
09/06/2024,UH Kerry,14,0,14,11,24,3,1,HSE South West
09/06/2024,HSE South West Total,41,3,44,32,80,8,1,
09/06/2024,Nenagh Hospital,,,,,4,,,HSE Mid West
09/06/2024,St. John's Hospital Limerick,,,,,1,,,HSE Mid West
09/06/2024,UH Limerick,11,27,38,24,8,2,1,HSE Mid West
09/06/2024,HSE Mid West Total,11,27,38,24,18,2,1,
09/06/2024,Letterkenny University Hospital,1,2,3,1,20,2,,HSE West & North West
09/06/2024,Mayo University Hospital,0,0,0,0,10,,,HSE West & North West
09/06/2024,Portiuncula University Hospital,1,0,1,0,4,,,HSE West & North West
09/06/2024,Roscommon University Hospital,,,,,5,,,HSE West & North West
09/06/2024,Sligo University Hospital,7,4,11,11,27,2,,HSE West & North West
09/06/2024,HSE West and North West Total,29,10,39,13,103,5,0,
09/06/2024,National Total,164,45,209,241,394,22,2,
10/06/2024,Cavan General Hospital,14,0,14,7,0,,,HSE Dublin & North East
10/06/2024,Connolly Hospital,1,0,1,0,5,,,HSE Dublin & North East
10/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
10/06/2024,Mater Misericordiae University Hospital,24,,24,17,17,1,1,HSE Dublin & North East
10/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
10/06/2024,Our Lady of Lourdes Hospital,16,0,16,26,1,,,HSE Dublin & North East
10/06/2024,Our Lady's Hospital Navan,3,0,3,4,0,,,HSE Dublin & North East
10/06/2024,HSE Dublin and North East Total,58,0,58,56,32,1,1,
10/06/2024,CHI at Tallaght,0,0,0,0,1,,,HSE Dublin & Midlands
10/06/2024,CHI at Temple Street,0,0,0,0,4,,,HSE Dublin & Midlands
10/06/2024,MRH Mullingar,1,0,1,7,0,,,HSE Dublin & Midlands
10/06/2024,MRH Portlaoise,0,0,0,7,6,,,HSE Dublin & Midlands
10/06/2024,MRH Tullamore,0,0,0,4,4,,,HSE Dublin & Midlands
10/06/2024,Naas General Hospital,14,4,18,11,8,4,,HSE Dublin & Midlands
10/06/2024,St. James's Hospital,32,0,32,20,38,9,2,HSE Dublin & Midlands
10/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
