,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
48,02/01/2023,Tallaght University Hospital,22.0,0,22.0,0.0,42,6.0,,HSE Dublin and Midlands
49,02/01/2023,St Luke's General Hospital Kilkenny,12.0,6,18.0,21.0,8,4.0,,HSE Dublin and South East
50,02/01/2023,St. Vincent's University Hospital,48.0,0,48.0,0.0,44,14.0,,HSE Dublin and South East
51,02/01/2023,Tipperary University Hospital,8.0,0,8.0,27.0,2,1.0,,HSE Dublin and South East
53,02/01/2023,UH Waterford,0.0,0,0.0,56.0,20,,,HSE Dublin and South East
54,02/01/2023,Wexford General Hospital,20.0,4,24.0,25.0,12,2.0,,HSE Dublin and South East
55,02/01/2023,Cork University Hospital,33.0,0,33.0,21.0,22,8.0,,HSE South West
56,02/01/2023,Mercy University Hospital,29.0,0,29.0,10.0,19,17.0,,HSE South West
57,02/01/2023,UH Kerry,28.0,0,28.0,12.0,12,11.0,,HSE South West
58,02/01/2023,UH Limerick,48.0,24,72.0,72.0,19,20.0,,HSE Mid West
59,02/01/2023,Galway University Hospital,27.0,6,33.0,22.0,20,6.0,,HSE West and North West
60,02/01/2023,Letterkenny University Hospital,38.0,,38.0,0.0,22,9.0,,HSE West and North West
62,02/01/2023,Mayo University Hospital,18.0,5,23.0,20.0,14,6.0,,HSE West and North West
63,02/01/2023,Portiuncula University Hospital,13.0,0,13.0,16.0,4,4.0,,HSE West and North West
64,02/01/2023,Sligo University Hospital,34.0,,34.0,7.0,10,22.0,,HSE West and North West
66,03/01/2023,Beaumont Hospital,28.0,,28.0,0.0,19,,,HSE Dublin and North East
67,03/01/2023,Cavan General Hospital,12.0,2,14.0,3.0,4,3.0,,HSE Dublin and North East
68,03/01/2023,Connolly Hospital,21.0,,21.0,42.0,9,4.0,,HSE Dublin and North East
69,03/01/2023,Mater Misericordiae University Hospital,44.0,,44.0,0.0,36,11.0,,HSE Dublin and North East
70,03/01/2023,Our Lady of Lourdes Hospital,30.0,3,33.0,26.0,38,4.0,,HSE Dublin and North East
71,03/01/2023,Our Lady's Hospital Navan,10.0,,10.0,17.0,4,,,HSE Dublin and North East
72,03/01/2023,CHI at Crumlin,8.0,,8.0,,,,,HSE Dublin and Midlands
73,03/01/2023,CHI at Tallaght,6.0,,6.0,,0,1.0,,HSE Dublin and Midlands
75,03/01/2023,CHI at Temple Street,9.0,,9.0,,,,,HSE Dublin and Midlands
76,03/01/2023,MRH Mullingar,20.0,0,20.0,15.0,1,1.0,,HSE Dublin and Midlands
77,03/01/2023,MRH Portlaoise,12.0,,12.0,11.0,5,1.0,,HSE Dublin and Midlands
78,03/01/2023,MRH Tullamore,5.0,0,5.0,28.0,5,,,HSE Dublin and Midlands
79,03/01/2023,Naas General Hospital,27.0,,27.0,14.0,14,12.0,,HSE Dublin and Midlands
80,03/01/2023,St. James's Hospital,37.0,0,37.0,0.0,62,8.0,,HSE Dublin and Midlands
81,03/01/2023,Tallaght University Hospital,33.0,0,33.0,0.0,42,6.0,,HSE Dublin and Midlands
82,03/01/2023,St Luke's General Hospital Kilkenny,21.0,6,27.0,22.0,8,16.0,,HSE Dublin and South East
83,03/01/2023,St. Vincent's University Hospital,55.0,0,55.0,0.0,44,25.0,,HSE Dublin and South East
84,03/01/2023,Tipperary University Hospital,18.0,0,18.0,28.0,2,5.0,,HSE Dublin and South East
86,03/01/2023,UH Waterford,0.0,0,0.0,61.0,20,,,HSE Dublin and South East
87,03/01/2023,Wexford General Hospital,29.0,6,35.0,40.0,12,8.0,,HSE Dublin and South East
88,03/01/2023,Cork University Hospital,52.0,0,52.0,8.0,22,19.0,,HSE South West
89,03/01/2023,Mercy University Hospital,31.0,0,31.0,11.0,19,17.0,,HSE South West
90,03/01/2023,UH Kerry,40.0,0,40.0,14.0,12,19.0,,HSE South West
91,03/01/2023,UH Limerick,44.0,32,76.0,42.0,15,23.0,,HSE Mid West
92,03/01/2023,Galway University Hospital,45.0,7,52.0,0.0,20,17.0,,HSE West and North West
93,03/01/2023,Letterkenny University Hospital,28.0,13,41.0,11.0,22,19.0,,HSE West and North West
95,03/01/2023,Mayo University Hospital,15.0,9,24.0,22.0,14,11.0,,HSE West and North West
96,03/01/2023,Portiuncula University Hospital,-6.0,16,10.0,16.0,4,2.0,,HSE West and North West
97,03/01/2023,Sligo University Hospital,18.0,18,36.0,12.0,10,21.0,,HSE West and North West
99,04/01/2023,Beaumont Hospital,20.0,,20.0,26.0,22,,,HSE Dublin and North East
100,04/01/2023,Cavan General Hospital,17.0,2,19.0,8.0,3,,,HSE Dublin and North East
101,04/01/2023,Connolly Hospital,8.0,0,8.0,43.0,9,,,HSE Dublin and North East
102,04/01/2023,Mater Misericordiae University Hospital,43.0,,43.0,0.0,41,14.0,,HSE Dublin and North East
103,04/01/2023,Our Lady of Lourdes Hospital,16.0,1,17.0,25.0,36,,,HSE Dublin and North East
104,04/01/2023,Our Lady's Hospital Navan,16.0,,16.0,17.0,4,3.0,,HSE Dublin and North East
105,04/01/2023,CHI at Crumlin,6.0,,6.0,,,,,HSE Dublin and Midlands
106,04/01/2023,CHI at Tallaght,2.0,,2.0,,0,,,HSE Dublin and Midlands
108,04/01/2023,CHI at Temple Street,10.0,,10.0,,,2.0,,HSE Dublin and Midlands
109,04/01/2023,MRH Mullingar,7.0,,7.0,0.0,0,,,HSE Dublin and Midlands
110,04/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,5,,,HSE Dublin and Midlands
111,04/01/2023,MRH Tullamore,3.0,0,3.0,22.0,4,,,HSE Dublin and Midlands
112,04/01/2023,Naas General Hospital,21.0,4,25.0,13.0,14,7.0,,HSE Dublin and Midlands
113,04/01/2023,St. James's Hospital,39.0,0,39.0,0.0,59,13.0,,HSE Dublin and Midlands
114,04/01/2023,Tallaght University Hospital,40.0,0,40.0,6.0,43,11.0,,HSE Dublin and Midlands
115,04/01/2023,St Luke's General Hospital Kilkenny,18.0,6,24.0,26.0,8,15.0,,HSE Dublin and South East
116,04/01/2023,St. Vincent's University Hospital,40.0,0,40.0,27.0,49,20.0,,HSE Dublin and South East
117,04/01/2023,Tipperary University Hospital,14.0,0,14.0,29.0,2,6.0,,HSE Dublin and South East
119,04/01/2023,UH Waterford,0.0,,0.0,65.0,19,,,HSE Dublin and South East
120,04/01/2023,Wexford General Hospital,24.0,7,31.0,41.0,13,11.0,,HSE Dublin and South East
121,04/01/2023,Cork University Hospital,43.0,3,46.0,26.0,22,12.0,,HSE South West
122,04/01/2023,Mercy University Hospital,19.0,0,19.0,11.0,17,7.0,,HSE South West
123,04/01/2023,UH Kerry,25.0,0,25.0,14.0,17,9.0,,HSE South West
124,04/01/2023,UH Limerick,20.0,23,43.0,45.0,14,5.0,,HSE Mid West
125,04/01/2023,Galway University Hospital,27.0,7,34.0,10.0,20,6.0,,HSE West and North West
126,04/01/2023,Letterkenny University Hospital,18.0,11,29.0,14.0,22,5.0,,HSE West and North West
128,04/01/2023,Mayo University Hospital,16.0,10,26.0,23.0,10,9.0,,HSE West and North West
129,04/01/2023,Portiuncula University Hospital,-6.0,15,9.0,15.0,4,,,HSE West and North West
130,04/01/2023,Sligo University Hospital,21.0,23,44.0,14.0,10,19.0,,HSE West and North West
132,05/01/2023,Beaumont Hospital,24.0,,24.0,0.0,20,,,HSE Dublin and North East
133,05/01/2023,Cavan General Hospital,10.0,1,11.0,6.0,3,3.0,,HSE Dublin and North East
134,05/01/2023,Connolly Hospital,1.0,0,1.0,39.0,9,,,HSE Dublin and North East
135,05/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,41,6.0,,HSE Dublin and North East
136,05/01/2023,Our Lady of Lourdes Hospital,21.0,,21.0,20.0,41,,,HSE Dublin and North East
137,05/01/2023,Our Lady's Hospital Navan,0.0,0,0.0,22.0,4,,,HSE Dublin and North East
138,05/01/2023,CHI at Crumlin,7.0,,7.0,,,,,HSE Dublin and Midlands
139,05/01/2023,CHI at Tallaght,1.0,,1.0,,0,,,HSE Dublin and Midlands
141,05/01/2023,CHI at Temple Street,5.0,,5.0,,,,,HSE Dublin and Midlands
142,05/01/2023,MRH Mullingar,6.0,0,6.0,11.0,1,,,HSE Dublin and Midlands
143,05/01/2023,MRH Portlaoise,0.0,0,0.0,11.0,6,,,HSE Dublin and Midlands
144,05/01/2023,MRH Tullamore,0.0,0,0.0,18.0,5,,,HSE Dublin and Midlands
145,05/01/2023,Naas General Hospital,15.0,4,19.0,13.0,14,7.0,,HSE Dublin and Midlands
146,05/01/2023,St. James's Hospital,38.0,0,38.0,0.0,58,7.0,,HSE Dublin and Midlands
147,05/01/2023,Tallaght University Hospital,37.0,0,37.0,0.0,43,14.0,,HSE Dublin and Midlands
148,05/01/2023,St Luke's General Hospital Kilkenny,16.0,6,22.0,22.0,8,13.0,,HSE Dublin and South East
149,05/01/2023,St. Vincent's University Hospital,21.0,0,21.0,24.0,49,6.0,,HSE Dublin and South East
150,05/01/2023,Tipperary University Hospital,10.0,,10.0,26.0,2,3.0,,HSE Dublin and South East
152,05/01/2023,UH Waterford,0.0,,0.0,65.0,18,,,HSE Dublin and South East
153,05/01/2023,Wexford General Hospital,12.0,3,15.0,27.0,12,3.0,,HSE Dublin and South East
154,05/01/2023,Cork University Hospital,34.0,3,37.0,27.0,22,12.0,,HSE South West
155,05/01/2023,Mercy University Hospital,17.0,,17.0,8.0,16,3.0,,HSE South West
156,05/01/2023,UH Kerry,18.0,0,18.0,14.0,18,5.0,,HSE South West
157,05/01/2023,UH Limerick,14.0,23,37.0,36.0,18,1.0,,HSE Mid West
158,05/01/2023,Galway University Hospital,25.0,10,35.0,41.0,20,11.0,,HSE West and North West
159,05/01/2023,Letterkenny University Hospital,22.0,13,35.0,25.0,24,6.0,,HSE West and North West
161,05/01/2023,Mayo University Hospital,14.0,11,25.0,21.0,11,9.0,,HSE West and North West
162,05/01/2023,Portiuncula University Hospital,-5.0,16,11.0,16.0,4,,,HSE West and North West
163,05/01/2023,Sligo University Hospital,12.0,12,24.0,8.0,10,12.0,,HSE West and North West
165,06/01/2023,Beaumont Hospital,18.0,,18.0,0.0,25,,,HSE Dublin and North East
166,06/01/2023,Cavan General Hospital,4.0,2,6.0,4.0,5,2.0,,HSE Dublin and North East
167,06/01/2023,Connolly Hospital,5.0,,5.0,27.0,8,,,HSE Dublin and North East
168,06/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,39,2.0,,HSE Dublin and North East
169,06/01/2023,Our Lady of Lourdes Hospital,9.0,3,12.0,23.0,39,,,HSE Dublin and North East
170,06/01/2023,Our Lady's Hospital Navan,16.0,,16.0,21.0,4,1.0,,HSE Dublin and North East
171,06/01/2023,CHI at Crumlin,5.0,,5.0,,,,,HSE Dublin and Midlands
172,06/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
174,06/01/2023,CHI at Temple Street,2.0,,2.0,,,,,HSE Dublin and Midlands
175,06/01/2023,MRH Mullingar,7.0,0,7.0,10.0,0,,,HSE Dublin and Midlands
176,06/01/2023,MRH Portlaoise,0.0,0,0.0,9.0,6,,,HSE Dublin and Midlands
177,06/01/2023,MRH Tullamore,0.0,0,0.0,11.0,6,,,HSE Dublin and Midlands
178,06/01/2023,Naas General Hospital,24.0,4,28.0,10.0,14,10.0,,HSE Dublin and Midlands
179,06/01/2023,St. James's Hospital,34.0,0,34.0,0.0,56,8.0,,HSE Dublin and Midlands
180,06/01/2023,Tallaght University Hospital,14.0,,14.0,0.0,40,5.0,,HSE Dublin and Midlands
181,06/01/2023,St Luke's General Hospital Kilkenny,21.0,5,26.0,17.0,10,11.0,,HSE Dublin and South East
182,06/01/2023,St. Vincent's University Hospital,22.0,0,22.0,28.0,55,5.0,,HSE Dublin and South East
183,06/01/2023,Tipperary University Hospital,1.0,,1.0,14.0,4,,,HSE Dublin and South East
185,06/01/2023,UH Waterford,0.0,,0.0,57.0,18,,,HSE Dublin and South East
186,06/01/2023,Wexford General Hospital,11.0,4,15.0,34.0,9,4.0,,HSE Dublin and South East
187,06/01/2023,Cork University Hospital,30.0,8,38.0,23.0,27,11.0,,HSE South West
188,06/01/2023,Mercy University Hospital,11.0,,11.0,14.0,11,3.0,,HSE South West
189,06/01/2023,UH Kerry,19.0,0,19.0,14.0,24,5.0,,HSE South West
190,06/01/2023,UH Limerick,20.0,14,34.0,36.0,17,6.0,,HSE Mid West
191,06/01/2023,Galway University Hospital,4.0,5,9.0,14.0,18,,,HSE West and North West
192,06/01/2023,Letterkenny University Hospital,20.0,8,28.0,11.0,25,5.0,,HSE West and North West
194,06/01/2023,Mayo University Hospital,12.0,10,22.0,18.0,12,10.0,,HSE West and North West
195,06/01/2023,Portiuncula University Hospital,5.0,0,5.0,13.0,4,,,HSE West and North West
196,06/01/2023,Sligo University Hospital,14.0,11,25.0,8.0,12,6.0,,HSE West and North West
198,07/01/2023,Beaumont Hospital,0.0,0,0.0,0.0,25,,,HSE Dublin and North East
199,07/01/2023,Cavan General Hospital,5.0,1,6.0,7.0,5,,,HSE Dublin and North East
200,07/01/2023,Connolly Hospital,2.0,0,2.0,46.0,8,,,HSE Dublin and North East
201,07/01/2023,Mater Misericordiae University Hospital,9.0,,9.0,0.0,39,,,HSE Dublin and North East
202,07/01/2023,Our Lady of Lourdes Hospital,4.0,0,4.0,5.0,38,,,HSE Dublin and North East
203,07/01/2023,Our Lady's Hospital Navan,-16.0,17,1.0,0.0,4,,,HSE Dublin and North East
204,07/01/2023,CHI at Crumlin,1.0,,1.0,,,,,HSE Dublin and Midlands
205,07/01/2023,CHI at Tallaght,3.0,,3.0,,0,,,HSE Dublin and Midlands
207,07/01/2023,CHI at Temple Street,1.0,,1.0,,,,,HSE Dublin and Midlands
208,07/01/2023,MRH Mullingar,9.0,0,9.0,12.0,1,,,HSE Dublin and Midlands
209,07/01/2023,MRH Portlaoise,13.0,0,13.0,10.0,6,,,HSE Dublin and Midlands
210,07/01/2023,MRH Tullamore,0.0,0,0.0,6.0,6,,,HSE Dublin and Midlands
211,07/01/2023,Naas General Hospital,15.0,3,18.0,10.0,14,8.0,,HSE Dublin and Midlands
212,07/01/2023,St. James's Hospital,17.0,,17.0,0.0,56,1.0,,HSE Dublin and Midlands
213,07/01/2023,Tallaght University Hospital,6.0,0,6.0,0.0,31,,,HSE Dublin and Midlands
214,07/01/2023,St Luke's General Hospital Kilkenny,14.0,0,14.0,12.0,9,6.0,,HSE Dublin and South East
215,07/01/2023,St. Vincent's University Hospital,20.0,,20.0,0.0,53,3.0,,HSE Dublin and South East
216,07/01/2023,Tipperary University Hospital,4.0,0,4.0,25.0,4,,,HSE Dublin and South East
218,07/01/2023,UH Waterford,0.0,0,0.0,43.0,17,,,HSE Dublin and South East
219,07/01/2023,Wexford General Hospital,4.0,,4.0,22.0,9,,,HSE Dublin and South East
220,07/01/2023,Cork University Hospital,23.0,3,26.0,22.0,32,3.0,,HSE South West
221,07/01/2023,Mercy University Hospital,9.0,,9.0,8.0,13,2.0,,HSE South West
222,07/01/2023,UH Kerry,19.0,0,19.0,20.0,24,6.0,,HSE South West
223,07/01/2023,UH Limerick,5.0,5,10.0,46.0,16,,,HSE Mid West
224,07/01/2023,Galway University Hospital,15.0,0,15.0,0.0,18,1.0,,HSE West and North West
225,07/01/2023,Letterkenny University Hospital,11.0,6,17.0,8.0,21,4.0,,HSE West and North West
227,07/01/2023,Mayo University Hospital,9.0,6,15.0,7.0,11,4.0,,HSE West and North West
228,07/01/2023,Portiuncula University Hospital,-4.0,10,6.0,0.0,4,,,HSE West and North West
229,07/01/2023,Sligo University Hospital,8.0,11,19.0,8.0,12,4.0,,HSE West and North West
231,08/01/2023,Beaumont Hospital,0.0,0,0.0,0.0,25,,,HSE Dublin and North East
232,08/01/2023,Cavan General Hospital,12.0,1,13.0,10.0,5,2.0,,HSE Dublin and North East
233,08/01/2023,Connolly Hospital,0.0,0,0.0,34.0,8,,,HSE Dublin and North East
234,08/01/2023,Mater Misericordiae University Hospital,9.0,,9.0,0.0,39,,,HSE Dublin and North East
235,08/01/2023,Our Lady of Lourdes Hospital,6.0,2,8.0,21.0,38,,,HSE Dublin and North East
236,08/01/2023,Our Lady's Hospital Navan,0.0,,0.0,22.0,4,,,HSE Dublin and North East
237,08/01/2023,CHI at Crumlin,2.0,,2.0,,,,,HSE Dublin and Midlands
238,08/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
240,08/01/2023,CHI at Temple Street,0.0,,0.0,,,,,HSE Dublin and Midlands
241,08/01/2023,MRH Mullingar,9.0,0,9.0,12.0,1,1.0,,HSE Dublin and Midlands
242,08/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,6,,,HSE Dublin and Midlands
243,08/01/2023,MRH Tullamore,0.0,0,0.0,8.0,6,,,HSE Dublin and Midlands
244,08/01/2023,Naas General Hospital,12.0,4,16.0,13.0,14,4.0,,HSE Dublin and Midlands
245,08/01/2023,St. James's Hospital,11.0,,11.0,0.0,56,,,HSE Dublin and Midlands
246,08/01/2023,Tallaght University Hospital,19.0,,19.0,0.0,31,,,HSE Dublin and Midlands
247,08/01/2023,St Luke's General Hospital Kilkenny,14.0,,14.0,15.0,9,6.0,,HSE Dublin and South East
248,08/01/2023,St. Vincent's University Hospital,30.0,,30.0,0.0,53,8.0,,HSE Dublin and South East
249,08/01/2023,Tipperary University Hospital,9.0,0,9.0,25.0,4,,,HSE Dublin and South East
251,08/01/2023,UH Waterford,0.0,0,0.0,45.0,17,,,HSE Dublin and South East
252,08/01/2023,Wexford General Hospital,15.0,,15.0,31.0,9,2.0,,HSE Dublin and South East
253,08/01/2023,Cork University Hospital,12.0,1,13.0,25.0,32,2.0,,HSE South West
254,08/01/2023,Mercy University Hospital,3.0,0,3.0,8.0,13,1.0,,HSE South West
255,08/01/2023,UH Kerry,16.0,0,16.0,20.0,24,6.0,,HSE South West
256,08/01/2023,UH Limerick,5.0,9,14.0,40.0,16,1.0,,HSE Mid West
257,08/01/2023,Galway University Hospital,2.0,0,2.0,4.0,18,2.0,,HSE West and North West
258,08/01/2023,Letterkenny University Hospital,23.0,,23.0,10.0,21,9.0,,HSE West and North West
260,08/01/2023,Mayo University Hospital,6.0,8,14.0,8.0,11,5.0,,HSE West and North West
261,08/01/2023,Portiuncula University Hospital,9.0,0,9.0,9.0,4,2.0,,HSE West and North West
262,08/01/2023,Sligo University Hospital,1.0,14,15.0,18.0,12,9.0,,HSE West and North West
264,09/01/2023,Beaumont Hospital,6.0,,6.0,0.0,25,,,HSE Dublin and North East
265,09/01/2023,Cavan General Hospital,20.0,1,21.0,6.0,5,6.0,,HSE Dublin and North East
266,09/01/2023,Connolly Hospital,0.0,0,0.0,37.0,8,,,HSE Dublin and North East
267,09/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,39,2.0,,HSE Dublin and North East
268,09/01/2023,Our Lady of Lourdes Hospital,15.0,2,17.0,20.0,38,,,HSE Dublin and North East
269,09/01/2023,Our Lady's Hospital Navan,8.0,0,8.0,21.0,4,,,HSE Dublin and North East
270,09/01/2023,CHI at Crumlin,1.0,,1.0,,,,,HSE Dublin and Midlands
271,09/01/2023,CHI at Tallaght,3.0,,3.0,,0,,,HSE Dublin and Midlands
273,09/01/2023,CHI at Temple Street,2.0,,2.0,,,,,HSE Dublin and Midlands
274,09/01/2023,MRH Mullingar,12.0,0,12.0,12.0,1,,,HSE Dublin and Midlands
275,09/01/2023,MRH Portlaoise,4.0,0,4.0,10.0,6,,,HSE Dublin and Midlands
276,09/01/2023,MRH Tullamore,0.0,0,0.0,14.0,6,,,HSE Dublin and Midlands
277,09/01/2023,Naas General Hospital,13.0,4,17.0,10.0,14,5.0,,HSE Dublin and Midlands
278,09/01/2023,St. James's Hospital,23.0,0,23.0,0.0,56,2.0,,HSE Dublin and Midlands
279,09/01/2023,Tallaght University Hospital,12.0,0,12.0,6.0,32,4.0,,HSE Dublin and Midlands
280,09/01/2023,St Luke's General Hospital Kilkenny,16.0,5,21.0,17.0,9,11.0,,HSE Dublin and South East
281,09/01/2023,St. Vincent's University Hospital,22.0,0,22.0,24.0,53,12.0,,HSE Dublin and South East
282,09/01/2023,Tipperary University Hospital,19.0,,19.0,29.0,4,4.0,,HSE Dublin and South East
284,09/01/2023,UH Waterford,0.0,,0.0,60.0,17,,,HSE Dublin and South East
285,09/01/2023,Wexford General Hospital,20.0,4,24.0,64.0,9,5.0,,HSE Dublin and South East
286,09/01/2023,Cork University Hospital,14.0,2,16.0,25.0,32,,,HSE South West
287,09/01/2023,Mercy University Hospital,11.0,0,11.0,8.0,11,1.0,,HSE South West
288,09/01/2023,UH Kerry,15.0,0,15.0,14.0,24,5.0,,HSE South West
289,09/01/2023,UH Limerick,10.0,20,30.0,20.0,16,1.0,,HSE Mid West
290,09/01/2023,Galway University Hospital,5.0,2,7.0,0.0,18,,,HSE West and North West
291,09/01/2023,Letterkenny University Hospital,15.0,8,23.0,23.0,21,13.0,,HSE West and North West
293,09/01/2023,Mayo University Hospital,11.0,9,20.0,18.0,10,8.0,,HSE West and North West
294,09/01/2023,Portiuncula University Hospital,-1.0,13,12.0,13.0,4,4.0,,HSE West and North West
295,09/01/2023,Sligo University Hospital,5.0,13,18.0,12.0,12,13.0,,HSE West and North West
297,10/01/2023,Beaumont Hospital,15.0,,15.0,0.0,29,,,HSE Dublin and North East
298,10/01/2023,Cavan General Hospital,21.0,2,23.0,8.0,5,9.0,,HSE Dublin and North East
299,10/01/2023,Connolly Hospital,4.0,,4.0,33.0,7,,,HSE Dublin and North East
300,10/01/2023,Mater Misericordiae University Hospital,31.0,,31.0,0.0,41,4.0,,HSE Dublin and North East
301,10/01/2023,Our Lady of Lourdes Hospital,17.0,2,19.0,20.0,34,,,HSE Dublin and North East
302,10/01/2023,Our Lady's Hospital Navan,5.0,0,5.0,20.0,4,,,HSE Dublin and North East
303,10/01/2023,CHI at Crumlin,0.0,,0.0,,,,,HSE Dublin and Midlands
304,10/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
306,10/01/2023,CHI at Temple Street,5.0,,5.0,0.0,,,,HSE Dublin and Midlands
307,10/01/2023,MRH Mullingar,12.0,0,12.0,12.0,0,,,HSE Dublin and Midlands
308,10/01/2023,MRH Portlaoise,4.0,0,4.0,11.0,10,,,HSE Dublin and Midlands
309,10/01/2023,MRH Tullamore,0.0,,0.0,11.0,6,,,HSE Dublin and Midlands
310,10/01/2023,Naas General Hospital,19.0,5,24.0,14.0,14,8.0,,HSE Dublin and Midlands
311,10/01/2023,St. James's Hospital,22.0,0,22.0,0.0,52,,,HSE Dublin and Midlands
312,10/01/2023,Tallaght University Hospital,11.0,0,11.0,6.0,32,,,HSE Dublin and Midlands
313,10/01/2023,St Luke's General Hospital Kilkenny,16.0,4,20.0,17.0,16,9.0,,HSE Dublin and South East
314,10/01/2023,St. Vincent's University Hospital,38.0,0,38.0,27.0,50,11.0,,HSE Dublin and South East
315,10/01/2023,Tipperary University Hospital,10.0,0,10.0,28.0,6,5.0,,HSE Dublin and South East
317,10/01/2023,UH Waterford,0.0,,0.0,60.0,18,,,HSE Dublin and South East
