Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
04/01/2023,HSE Dublin and Midlands Total,198.0,10,208.0,134.0,184,74.0,0
04/01/2023,UH Waterford,0.0,,0.0,65.0,19,,
04/01/2023,Wexford General Hospital,24.0,7,31.0,41.0,13,11.0,
04/01/2023,Cork University Hospital,43.0,3,46.0,26.0,22,12.0,
04/01/2023,Mercy University Hospital,19.0,0,19.0,11.0,17,7.0,
04/01/2023,UH Kerry,25.0,0,25.0,14.0,17,9.0,
04/01/2023,UH Limerick,20.0,23,43.0,45.0,14,5.0,
04/01/2023,Galway University Hospital,27.0,7,34.0,10.0,20,6.0,
04/01/2023,Letterkenny University Hospital,18.0,11,29.0,14.0,22,5.0,
04/01/2023,HSE Dublin and South East Total,176.0,51,227.0,226.0,144,55.0,0
04/01/2023,Mayo University Hospital,16.0,10,26.0,23.0,10,9.0,
04/01/2023,Portiuncula University Hospital,-6.0,15,9.0,15.0,4,,
04/01/2023,Sligo University Hospital,21.0,23,44.0,14.0,10,19.0,
04/01/2023,National Total,533.0,112,645.0,531.0,467,174.0,Unnamed: 20_level_1
05/01/2023,Beaumont Hospital,24.0,,24.0,0.0,20,,
05/01/2023,Cavan General Hospital,10.0,1,11.0,6.0,3,3.0,
05/01/2023,Connolly Hospital,1.0,0,1.0,39.0,9,,
05/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,41,6.0,
05/01/2023,Our Lady of Lourdes Hospital,21.0,,21.0,20.0,41,,
05/01/2023,Our Lady's Hospital Navan,0.0,0,0.0,22.0,4,,
05/01/2023,CHI at Crumlin,7.0,,7.0,,,,
05/01/2023,CHI at Tallaght,1.0,,1.0,,0,,
05/01/2023,HSE Dublin and North East Total,82.0,1,83.0,87.0,118,9.0,0
05/01/2023,CHI at Temple Street,5.0,,5.0,,,,
05/01/2023,MRH Mullingar,6.0,0,6.0,11.0,1,,
05/01/2023,MRH Portlaoise,0.0,0,0.0,11.0,6,,
05/01/2023,MRH Tullamore,0.0,0,0.0,18.0,5,,
05/01/2023,Naas General Hospital,15.0,4,19.0,13.0,14,7.0,
05/01/2023,St. James's Hospital,38.0,0,38.0,0.0,58,7.0,
05/01/2023,Tallaght University Hospital,37.0,0,37.0,0.0,43,14.0,
05/01/2023,St Luke's General Hospital Kilkenny,16.0,6,22.0,22.0,8,13.0,
05/01/2023,St. Vincent's University Hospital,21.0,0,21.0,24.0,49,6.0,
05/01/2023,Tipperary University Hospital,10.0,,10.0,26.0,2,3.0,
05/01/2023,HSE Dublin and Midlands Total,148.0,10,158.0,125.0,186,50.0,0
05/01/2023,UH Waterford,0.0,,0.0,65.0,18,,
05/01/2023,Wexford General Hospital,12.0,3,15.0,27.0,12,3.0,
05/01/2023,Cork University Hospital,34.0,3,37.0,27.0,22,12.0,
05/01/2023,Mercy University Hospital,17.0,,17.0,8.0,16,3.0,
05/01/2023,UH Kerry,18.0,0,18.0,14.0,18,5.0,
05/01/2023,UH Limerick,14.0,23,37.0,36.0,18,1.0,
05/01/2023,Galway University Hospital,25.0,10,35.0,41.0,20,11.0,
05/01/2023,Letterkenny University Hospital,22.0,13,35.0,25.0,24,6.0,
05/01/2023,HSE Dublin and South East Total,142.0,52,194.0,243.0,148,41.0,0
05/01/2023,Mayo University Hospital,14.0,11,25.0,21.0,11,9.0,
05/01/2023,Portiuncula University Hospital,-5.0,16,11.0,16.0,4,,
05/01/2023,Sligo University Hospital,12.0,12,24.0,8.0,10,12.0,
05/01/2023,National Total,393.0,102,495.0,500.0,477,121.0,Unnamed: 20_level_1
06/01/2023,Beaumont Hospital,18.0,,18.0,0.0,25,,
06/01/2023,Cavan General Hospital,4.0,2,6.0,4.0,5,2.0,
06/01/2023,Connolly Hospital,5.0,,5.0,27.0,8,,
06/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,39,2.0,
06/01/2023,Our Lady of Lourdes Hospital,9.0,3,12.0,23.0,39,,
06/01/2023,Our Lady's Hospital Navan,16.0,,16.0,21.0,4,1.0,
06/01/2023,CHI at Crumlin,5.0,,5.0,,,,
06/01/2023,CHI at Tallaght,0.0,,0.0,,0,,
06/01/2023,HSE Dublin and North East Total,75.0,5,80.0,75.0,120,5.0,0
06/01/2023,CHI at Temple Street,2.0,,2.0,,,,
06/01/2023,MRH Mullingar,7.0,0,7.0,10.0,0,,
06/01/2023,MRH Portlaoise,0.0,0,0.0,9.0,6,,
06/01/2023,MRH Tullamore,0.0,0,0.0,11.0,6,,
06/01/2023,Naas General Hospital,24.0,4,28.0,10.0,14,10.0,
06/01/2023,St. James's Hospital,34.0,0,34.0,0.0,56,8.0,
06/01/2023,Tallaght University Hospital,14.0,,14.0,0.0,40,5.0,
06/01/2023,St Luke's General Hospital Kilkenny,21.0,5,26.0,17.0,10,11.0,
06/01/2023,St. Vincent's University Hospital,22.0,0,22.0,28.0,55,5.0,
06/01/2023,Tipperary University Hospital,1.0,,1.0,14.0,4,,
06/01/2023,HSE Dublin and Midlands Total,125.0,9,134.0,99.0,191,39.0,0
06/01/2023,UH Waterford,0.0,,0.0,57.0,18,,
06/01/2023,Wexford General Hospital,11.0,4,15.0,34.0,9,4.0,
06/01/2023,Cork University Hospital,30.0,8,38.0,23.0,27,11.0,
06/01/2023,Mercy University Hospital,11.0,,11.0,14.0,11,3.0,
06/01/2023,UH Kerry,19.0,0,19.0,14.0,24,5.0,
06/01/2023,UH Limerick,20.0,14,34.0,36.0,17,6.0,
06/01/2023,Galway University Hospital,4.0,5,9.0,14.0,18,,
06/01/2023,Letterkenny University Hospital,20.0,8,28.0,11.0,25,5.0,
06/01/2023,HSE Dublin and South East Total,115.0,39,154.0,203.0,149,34.0,0
06/01/2023,Mayo University Hospital,12.0,10,22.0,18.0,12,10.0,
06/01/2023,Portiuncula University Hospital,5.0,0,5.0,13.0,4,,
06/01/2023,Sligo University Hospital,14.0,11,25.0,8.0,12,6.0,
06/01/2023,National Total,346.0,74,420.0,416.0,488,94.0,Unnamed: 20_level_1
07/01/2023,Beaumont Hospital,0.0,0,0.0,0.0,25,,
07/01/2023,Cavan General Hospital,5.0,1,6.0,7.0,5,,
07/01/2023,Connolly Hospital,2.0,0,2.0,46.0,8,,
07/01/2023,Mater Misericordiae University Hospital,9.0,,9.0,0.0,39,,
07/01/2023,Our Lady of Lourdes Hospital,4.0,0,4.0,5.0,38,,
07/01/2023,Our Lady's Hospital Navan,-16.0,17,1.0,0.0,4,,
07/01/2023,CHI at Crumlin,1.0,,1.0,,,,
07/01/2023,CHI at Tallaght,3.0,,3.0,,0,,
07/01/2023,HSE Dublin and North East Total,8.0,18,26.0,58.0,119,0.0,0
07/01/2023,CHI at Temple Street,1.0,,1.0,,,,
07/01/2023,MRH Mullingar,9.0,0,9.0,12.0,1,,
07/01/2023,MRH Portlaoise,13.0,0,13.0,10.0,6,,
07/01/2023,MRH Tullamore,0.0,0,0.0,6.0,6,,
07/01/2023,Naas General Hospital,15.0,3,18.0,10.0,14,8.0,
07/01/2023,St. James's Hospital,17.0,,17.0,0.0,56,1.0,
07/01/2023,Tallaght University Hospital,6.0,0,6.0,0.0,31,,
07/01/2023,St Luke's General Hospital Kilkenny,14.0,0,14.0,12.0,9,6.0,
07/01/2023,St. Vincent's University Hospital,20.0,,20.0,0.0,53,3.0,
07/01/2023,Tipperary University Hospital,4.0,0,4.0,25.0,4,,
07/01/2023,HSE Dublin and Midlands Total,99.0,3,102.0,75.0,180,18.0,0
07/01/2023,UH Waterford,0.0,0,0.0,43.0,17,,
07/01/2023,Wexford General Hospital,4.0,,4.0,22.0,9,,
07/01/2023,Cork University Hospital,23.0,3,26.0,22.0,32,3.0,
07/01/2023,Mercy University Hospital,9.0,,9.0,8.0,13,2.0,
07/01/2023,UH Kerry,19.0,0,19.0,20.0,24,6.0,
07/01/2023,UH Limerick,5.0,5,10.0,46.0,16,,
07/01/2023,Galway University Hospital,15.0,0,15.0,0.0,18,1.0,
07/01/2023,Letterkenny University Hospital,11.0,6,17.0,8.0,21,4.0,
07/01/2023,HSE Dublin and South East Total,86.0,14,100.0,169.0,150,16.0,0
07/01/2023,Mayo University Hospital,9.0,6,15.0,7.0,11,4.0,
07/01/2023,Portiuncula University Hospital,-4.0,10,6.0,0.0,4,,
07/01/2023,Sligo University Hospital,8.0,11,19.0,8.0,12,4.0,
07/01/2023,National Total,206.0,62,268.0,317.0,476,42.0,Unnamed: 20_level_1
08/01/2023,Beaumont Hospital,0.0,0,0.0,0.0,25,,
08/01/2023,Cavan General Hospital,12.0,1,13.0,10.0,5,2.0,
08/01/2023,Connolly Hospital,0.0,0,0.0,34.0,8,,
08/01/2023,Mater Misericordiae University Hospital,9.0,,9.0,0.0,39,,
08/01/2023,Our Lady of Lourdes Hospital,6.0,2,8.0,21.0,38,,
08/01/2023,Our Lady's Hospital Navan,0.0,,0.0,22.0,4,,
08/01/2023,CHI at Crumlin,2.0,,2.0,,,,
08/01/2023,CHI at Tallaght,0.0,,0.0,,0,,
08/01/2023,HSE Dublin and North East Total,29.0,3,32.0,87.0,119,2.0,0
08/01/2023,CHI at Temple Street,0.0,,0.0,,,,
08/01/2023,MRH Mullingar,9.0,0,9.0,12.0,1,1.0,
08/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,6,,
08/01/2023,MRH Tullamore,0.0,0,0.0,8.0,6,,
08/01/2023,Naas General Hospital,12.0,4,16.0,13.0,14,4.0,
08/01/2023,St. James's Hospital,11.0,,11.0,0.0,56,,
08/01/2023,Tallaght University Hospital,19.0,,19.0,0.0,31,,
08/01/2023,St Luke's General Hospital Kilkenny,14.0,,14.0,15.0,9,6.0,
08/01/2023,St. Vincent's University Hospital,30.0,,30.0,0.0,53,8.0,
08/01/2023,Tipperary University Hospital,9.0,0,9.0,25.0,4,,
08/01/2023,HSE Dublin and Midlands Total,110.0,4,114.0,84.0,180,19.0,0
08/01/2023,UH Waterford,0.0,0,0.0,45.0,17,,
08/01/2023,Wexford General Hospital,15.0,,15.0,31.0,9,2.0,
08/01/2023,Cork University Hospital,12.0,1,13.0,25.0,32,2.0,
08/01/2023,Mercy University Hospital,3.0,0,3.0,8.0,13,1.0,
08/01/2023,UH Kerry,16.0,0,16.0,20.0,24,6.0,
08/01/2023,UH Limerick,5.0,9,14.0,40.0,16,1.0,
08/01/2023,Galway University Hospital,2.0,0,2.0,4.0,18,2.0,
08/01/2023,Letterkenny University Hospital,23.0,,23.0,10.0,21,9.0,
08/01/2023,HSE Dublin and South East Total,76.0,10,86.0,183.0,150,23.0,0
08/01/2023,Mayo University Hospital,6.0,8,14.0,8.0,11,5.0,
08/01/2023,Portiuncula University Hospital,9.0,0,9.0,9.0,4,2.0,
08/01/2023,Sligo University Hospital,1.0,14,15.0,18.0,12,9.0,
08/01/2023,National Total,231.0,39,270.0,389.0,476,60.0,Unnamed: 20_level_1
09/01/2023,Beaumont Hospital,6.0,,6.0,0.0,25,,
09/01/2023,Cavan General Hospital,20.0,1,21.0,6.0,5,6.0,
09/01/2023,Connolly Hospital,0.0,0,0.0,37.0,8,,
09/01/2023,Mater Misericordiae University Hospital,18.0,,18.0,0.0,39,2.0,
09/01/2023,Our Lady of Lourdes Hospital,15.0,2,17.0,20.0,38,,
09/01/2023,Our Lady's Hospital Navan,8.0,0,8.0,21.0,4,,
09/01/2023,CHI at Crumlin,1.0,,1.0,,,,
09/01/2023,CHI at Tallaght,3.0,,3.0,,0,,
09/01/2023,HSE Dublin and North East Total,71.0,3,74.0,84.0,119,8.0,0
09/01/2023,CHI at Temple Street,2.0,,2.0,,,,
09/01/2023,MRH Mullingar,12.0,0,12.0,12.0,1,,
09/01/2023,MRH Portlaoise,4.0,0,4.0,10.0,6,,
09/01/2023,MRH Tullamore,0.0,0,0.0,14.0,6,,
09/01/2023,Naas General Hospital,13.0,4,17.0,10.0,14,5.0,
09/01/2023,St. James's Hospital,23.0,0,23.0,0.0,56,2.0,
09/01/2023,Tallaght University Hospital,12.0,0,12.0,6.0,32,4.0,
09/01/2023,St Luke's General Hospital Kilkenny,16.0,5,21.0,17.0,9,11.0,
09/01/2023,St. Vincent's University Hospital,22.0,0,22.0,24.0,53,12.0,
09/01/2023,Tipperary University Hospital,19.0,,19.0,29.0,4,4.0,
09/01/2023,HSE Dublin and Midlands Total,123.0,9,132.0,122.0,181,38.0,0
09/01/2023,UH Waterford,0.0,,0.0,60.0,17,,
09/01/2023,Wexford General Hospital,20.0,4,24.0,64.0,9,5.0,
09/01/2023,Cork University Hospital,14.0,2,16.0,25.0,32,,
09/01/2023,Mercy University Hospital,11.0,0,11.0,8.0,11,1.0,
09/01/2023,UH Kerry,15.0,0,15.0,14.0,24,5.0,
09/01/2023,UH Limerick,10.0,20,30.0,20.0,16,1.0,
09/01/2023,Galway University Hospital,5.0,2,7.0,0.0,18,,
09/01/2023,Letterkenny University Hospital,15.0,8,23.0,23.0,21,13.0,
09/01/2023,HSE Dublin and South East Total,90.0,36,126.0,214.0,148,25.0,0
09/01/2023,Mayo University Hospital,11.0,9,20.0,18.0,10,8.0,
09/01/2023,Portiuncula University Hospital,-1.0,13,12.0,13.0,4,4.0,
09/01/2023,Sligo University Hospital,5.0,13,18.0,12.0,12,13.0,
09/01/2023,National Total,299.0,83,382.0,463.0,474,96.0,Unnamed: 20_level_1
10/01/2023,Beaumont Hospital,15.0,,15.0,0.0,29,,
10/01/2023,Cavan General Hospital,21.0,2,23.0,8.0,5,9.0,
10/01/2023,Connolly Hospital,4.0,,4.0,33.0,7,,
10/01/2023,Mater Misericordiae University Hospital,31.0,,31.0,0.0,41,4.0,
10/01/2023,Our Lady of Lourdes Hospital,17.0,2,19.0,20.0,34,,
10/01/2023,Our Lady's Hospital Navan,5.0,0,5.0,20.0,4,,
10/01/2023,CHI at Crumlin,0.0,,0.0,,,,
10/01/2023,CHI at Tallaght,0.0,,0.0,,0,,
10/01/2023,HSE Dublin and North East Total,93.0,4,97.0,81.0,120,13.0,0
10/01/2023,CHI at Temple Street,5.0,,5.0,0.0,,,
10/01/2023,MRH Mullingar,12.0,0,12.0,12.0,0,,
10/01/2023,MRH Portlaoise,4.0,0,4.0,11.0,10,,
10/01/2023,MRH Tullamore,0.0,,0.0,11.0,6,,
10/01/2023,Naas General Hospital,19.0,5,24.0,14.0,14,8.0,
10/01/2023,St. James's Hospital,22.0,0,22.0,0.0,52,,
10/01/2023,Tallaght University Hospital,11.0,0,11.0,6.0,32,,
10/01/2023,St Luke's General Hospital Kilkenny,16.0,4,20.0,17.0,16,9.0,
10/01/2023,St. Vincent's University Hospital,38.0,0,38.0,27.0,50,11.0,
10/01/2023,Tipperary University Hospital,10.0,0,10.0,28.0,6,5.0,
10/01/2023,HSE Dublin and Midlands Total,137.0,9,146.0,126.0,186,33.0,0
10/01/2023,UH Waterford,0.0,,0.0,60.0,18,,
10/01/2023,Wexford General Hospital,13.0,4,17.0,51.0,9,6.0,
10/01/2023,Cork University Hospital,30.0,4,34.0,26.0,34,,
10/01/2023,Mercy University Hospital,14.0,0,14.0,11.0,12,3.0,
10/01/2023,UH Kerry,18.0,0,18.0,14.0,20,3.0,
10/01/2023,UH Limerick,10.0,16,26.0,45.0,16,,
10/01/2023,Galway University Hospital,12.0,3,15.0,23.0,16,,
10/01/2023,Letterkenny University Hospital,15.0,6,21.0,16.0,16,4.0,
10/01/2023,HSE Dublin and South East Total,112.0,33,145.0,246.0,141,16.0,0
10/01/2023,Mayo University Hospital,2.0,8,10.0,13.0,10,4.0,
10/01/2023,Portiuncula University Hospital,-9.0,13,4.0,13.0,4,,
10/01/2023,Sligo University Hospital,7.0,6,13.0,11.0,12,4.0,
10/01/2023,National Total,342.0,73,415.0,490.0,473,70.0,Unnamed: 20_level_1
11/01/2023,Beaumont Hospital,0.0,,0.0,0.0,27,,
11/01/2023,Cavan General Hospital,12.0,2,14.0,8.0,5,2.0,
11/01/2023,Connolly Hospital,7.0,0,7.0,34.0,7,,
11/01/2023,Mater Misericordiae University Hospital,34.0,,34.0,0.0,41,8.0,
11/01/2023,Our Lady of Lourdes Hospital,7.0,1,8.0,20.0,34,,
11/01/2023,Our Lady's Hospital Navan,5.0,0,5.0,21.0,8,,
11/01/2023,CHI at Crumlin,0.0,,0.0,,,,
11/01/2023,CHI at Tallaght,2.0,,2.0,,0,,
11/01/2023,HSE Dublin and North East Total,67.0,3,70.0,83.0,122,10.0,0
11/01/2023,CHI at Temple Street,4.0,,4.0,,,,
11/01/2023,MRH Mullingar,19.0,0,19.0,0.0,0,1.0,
11/01/2023,MRH Portlaoise,0.0,0,0.0,11.0,10,,
11/01/2023,MRH Tullamore,0.0,0,0.0,0.0,6,,
11/01/2023,Naas General Hospital,22.0,,22.0,5.0,8,5.0,
11/01/2023,St. James's Hospital,31.0,0,31.0,0.0,48,,
11/01/2023,Tallaght University Hospital,27.0,,27.0,6.0,38,3.0,
11/01/2023,St Luke's General Hospital Kilkenny,14.0,5,19.0,32.0,15,7.0,
11/01/2023,St. Vincent's University Hospital,37.0,0,37.0,24.0,48,12.0,
11/01/2023,Tipperary University Hospital,14.0,0,14.0,24.0,6,1.0,
11/01/2023,HSE Dublin and Midlands Total,168.0,5,173.0,102.0,179,29.0,0
11/01/2023,UH Waterford,0.0,0,0.0,50.0,15,,
11/01/2023,Wexford General Hospital,12.0,2,14.0,51.0,10,1.0,
11/01/2023,Cork University Hospital,33.0,,33.0,23.0,33,9.0,
11/01/2023,Mercy University Hospital,15.0,0,15.0,11.0,17,3.0,
11/01/2023,UH Kerry,12.0,,12.0,14.0,20,1.0,
11/01/2023,UH Limerick,12.0,14,26.0,35.0,17,1.0,
11/01/2023,Galway University Hospital,6.0,3,9.0,22.0,16,1.0,
11/01/2023,Letterkenny University Hospital,16.0,1,17.0,23.0,19,8.0,
11/01/2023,HSE Dublin and South East Total,106.0,20,126.0,229.0,147,24.0,0
11/01/2023,Mayo University Hospital,12.0,,12.0,14.0,11,2.0,
11/01/2023,Portiuncula University Hospital,-3.0,12,9.0,12.0,6,,
11/01/2023,Sligo University Hospital,9.0,6,15.0,6.0,12,5.0,
11/01/2023,National Total,359.0,46,405.0,446.0,477,70.0,Unnamed: 20_level_1
12/01/2023,Beaumont Hospital,7.0,,7.0,0.0,25,,
12/01/2023,Cavan General Hospital,12.0,,12.0,6.0,5,3.0,
12/01/2023,Connolly Hospital,6.0,0,6.0,33.0,7,,
12/01/2023,Mater Misericordiae University Hospital,29.0,,29.0,0.0,46,3.0,
12/01/2023,Our Lady of Lourdes Hospital,7.0,0,7.0,14.0,32,,
12/01/2023,Our Lady's Hospital Navan,11.0,0,11.0,22.0,8,1.0,
