Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
03/06/2024,HSE Dublin and Midlands Total,29,0,29,47,79,6,0
03/06/2024,National Rehabilitation Hospital,,,,,9,,
03/06/2024,St. Columcille's Hospital,,,,,3,,
03/06/2024,St Luke's General Hospital Kilkenny,0,0,0,19,7,,
03/06/2024,St. Michael's Hospital,,,,,3,,
03/06/2024,St. Vincent's University Hospital,25,0,25,50,28,3,2
03/06/2024,Tipperary University Hospital,0,0,0,0,12,,
03/06/2024,UH Waterford,0,0,0,0,15,,
03/06/2024,Wexford General Hospital,1,5,6,11,8,,
03/06/2024,HSE Dublin and South East Total,26,5,31,80,85,3,2
03/06/2024,Bantry General Hospital,,,,,4,,
03/06/2024,Cork University Hospital,23,2,25,22,35,1,
03/06/2024,Mallow General Hospital,,,,,3,,
03/06/2024,Mercy University Hospital,4,0,4,7,11,,
03/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
03/06/2024,UH Kerry,17,0,17,14,21,2,
03/06/2024,HSE South West Total,44,2,46,43,79,3,0
03/06/2024,Ennis Hospital,,,,,6,,
03/06/2024,Nenagh Hospital,,,,,4,,
03/06/2024,St. John's Hospital Limerick,,,,,1,,
03/06/2024,UH Limerick,18,30,48,32,13,17,3
03/06/2024,HSE Mid West Total,18,30,48,32,24,17,3
03/06/2024,Galway University Hospital,16,1,17,20,31,,
03/06/2024,Letterkenny University Hospital,0,1,1,5,28,1,
03/06/2024,Mayo University Hospital,1,7,8,0,4,1,
03/06/2024,Portiuncula University Hospital,2,0,2,0,4,,
03/06/2024,Roscommon University Hospital,,,,,6,,
03/06/2024,Sligo University Hospital,3,8,11,11,26,4,
03/06/2024,HSE West and North West Total,22,17,39,36,99,6,0
03/06/2024,National Total,162,54,216,276,401,35,5
04/06/2024,Beaumont Hospital,0,0,0,2,10,,
04/06/2024,Cavan General Hospital,12,0,12,7,0,1,1
04/06/2024,Connolly Hospital,10,0,10,4,5,,
04/06/2024,Louth County Hospital,,,,,0,,
04/06/2024,Mater Misericordiae University Hospital,14,0,14,23,18,,
04/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
04/06/2024,Our Lady of Lourdes Hospital,19,0,19,22,1,,
04/06/2024,Our Lady's Hospital Navan,2,0,2,0,0,,
04/06/2024,HSE Dublin and North East Total,57,0,57,58,35,1,1
04/06/2024,CHI at Crumlin,2,,2,,3,,
04/06/2024,CHI at Tallaght,0,,0,,2,,
04/06/2024,CHI at Temple Street,1,,1,0,3,,
04/06/2024,MRH Mullingar,7,0,7,15,1,,
04/06/2024,MRH Portlaoise,2,0,2,7,5,,
04/06/2024,MRH Tullamore,0,0,0,0,4,,
04/06/2024,Naas General Hospital,11,3,14,10,10,,
04/06/2024,St. James's Hospital,23,0,23,20,36,,
04/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
04/06/2024,Tallaght University Hospital,29,8,37,18,15,8,
04/06/2024,HSE Dublin and Midlands Total,75,11,86,70,79,8,0
04/06/2024,National Rehabilitation Hospital,,,,,9,,
04/06/2024,St. Columcille's Hospital,,,,,3,,
04/06/2024,St Luke's General Hospital Kilkenny,7,0,7,42,7,,
04/06/2024,St. Michael's Hospital,,,,,3,,
04/06/2024,St. Vincent's University Hospital,22,0,22,50,28,6,1
04/06/2024,Tipperary University Hospital,4,0,4,0,12,,
04/06/2024,UH Waterford,0,0,0,2,15,,
04/06/2024,Wexford General Hospital,4,6,10,14,8,4,
04/06/2024,HSE Dublin and South East Total,37,6,43,108,85,10,1
04/06/2024,Bantry General Hospital,,,,,4,,
04/06/2024,Cork University Hospital,28,10,38,24,35,9,1
04/06/2024,Mallow General Hospital,,,,,3,,
04/06/2024,Mercy University Hospital,17,0,17,7,11,3,
04/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
04/06/2024,UH Kerry,23,7,30,14,21,10,
04/06/2024,HSE South West Total,68,17,85,45,79,22,1
04/06/2024,Ennis Hospital,,,,,5,,
04/06/2024,Nenagh Hospital,,,,,4,,
04/06/2024,St. John's Hospital Limerick,,,,,1,,
04/06/2024,UH Limerick,27,39,66,44,13,27,3
04/06/2024,HSE Mid West Total,27,39,66,44,23,27,3
04/06/2024,Galway University Hospital,14,8,22,20,31,1,
04/06/2024,Letterkenny University Hospital,2,1,3,7,28,1,
04/06/2024,Mayo University Hospital,8,12,20,0,4,8,
04/06/2024,Portiuncula University Hospital,2,0,2,1,4,,
04/06/2024,Roscommon University Hospital,,,,,6,,
04/06/2024,Sligo University Hospital,4,13,17,15,26,5,
04/06/2024,HSE West and North West Total,30,34,64,43,99,15,0
04/06/2024,National Total,294,107,401,368,400,83,6
05/06/2024,Beaumont Hospital,5,0,5,18,9,,
05/06/2024,Cavan General Hospital,15,0,15,11,0,,
05/06/2024,Connolly Hospital,9,0,9,8,5,,
05/06/2024,Louth County Hospital,,,,,0,,
05/06/2024,Mater Misericordiae University Hospital,14,,14,23,14,,
05/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
05/06/2024,Our Lady of Lourdes Hospital,28,0,28,25,1,,
05/06/2024,Our Lady's Hospital Navan,2,0,2,4,0,,
05/06/2024,HSE Dublin and North East Total,73,0,73,89,30,0,0
05/06/2024,CHI at Crumlin,1,,1,0,3,,
05/06/2024,CHI at Tallaght,0,0,0,0,1,,
05/06/2024,CHI at Temple Street,0,0,0,0,3,,
05/06/2024,MRH Mullingar,13,4,17,7,0,1,
05/06/2024,MRH Portlaoise,1,0,1,0,4,,
05/06/2024,MRH Tullamore,0,0,0,19,4,,
05/06/2024,Naas General Hospital,6,3,9,7,9,1,1
05/06/2024,St. James's Hospital,31,0,31,20,34,,
05/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
05/06/2024,Tallaght University Hospital,33,12,45,19,15,19,2
05/06/2024,HSE Dublin and Midlands Total,85,19,104,72,73,21,3
05/06/2024,National Rehabilitation Hospital,,,,,8,,
05/06/2024,St. Columcille's Hospital,,,,,3,,
05/06/2024,St Luke's General Hospital Kilkenny,8,4,12,46,8,,
05/06/2024,St. Michael's Hospital,,,,,4,,
05/06/2024,St. Vincent's University Hospital,19,0,19,45,29,,
05/06/2024,Tipperary University Hospital,6,0,6,6,13,,
05/06/2024,UH Waterford,0,0,0,1,11,,
05/06/2024,Wexford General Hospital,3,10,13,20,8,4,2
05/06/2024,HSE Dublin and South East Total,36,14,50,118,84,4,2
05/06/2024,Bantry General Hospital,,,,,4,,
05/06/2024,Cork University Hospital,23,12,35,21,37,3,
05/06/2024,Mallow General Hospital,,,,,3,,
05/06/2024,Mercy University Hospital,16,0,16,10,9,1,
05/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
05/06/2024,UH Kerry,18,4,22,0,18,6,2
05/06/2024,HSE South West Total,57,16,73,31,76,10,2
05/06/2024,Ennis Hospital,,,,,5,,
05/06/2024,Nenagh Hospital,,,,,3,,
05/06/2024,St. John's Hospital Limerick,,,,,1,,
05/06/2024,UH Limerick,22,36,58,43,13,18,9
05/06/2024,HSE Mid West Total,22,36,58,43,22,18,9
05/06/2024,Galway University Hospital,18,7,25,17,39,4,
05/06/2024,Letterkenny University Hospital,2,2,4,7,22,1,
05/06/2024,Mayo University Hospital,5,10,15,0,7,9,
05/06/2024,Portiuncula University Hospital,3,0,3,0,4,,
05/06/2024,Roscommon University Hospital,,,,,4,,
05/06/2024,Sligo University Hospital,12,16,28,11,23,5,
05/06/2024,HSE West and North West Total,40,35,75,35,99,19,0
05/06/2024,National Total,313,120,433,388,384,72,16
06/06/2024,Beaumont Hospital,16,0,16,10,6,,
06/06/2024,Cavan General Hospital,9,0,9,0,0,,
06/06/2024,Connolly Hospital,3,0,3,4,5,,
06/06/2024,Louth County Hospital,,,,,0,,
06/06/2024,Mater Misericordiae University Hospital,17,0,17,8,17,,
06/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
06/06/2024,Our Lady of Lourdes Hospital,16,0,16,27,1,,
06/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
06/06/2024,HSE Dublin and North East Total,61,0,61,49,30,0,0
06/06/2024,CHI at Crumlin,7,0,7,0,3,,
06/06/2024,CHI at Tallaght,0,0,0,0,1,,
06/06/2024,CHI at Temple Street,1,0,1,0,3,,
06/06/2024,MRH Mullingar,5,0,5,15,0,,
06/06/2024,MRH Portlaoise,1,0,1,0,3,,
06/06/2024,MRH Tullamore,0,0,0,21,4,,
06/06/2024,Naas General Hospital,11,4,15,8,9,,
06/06/2024,St. James's Hospital,22,0,22,29,34,1,1
06/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
06/06/2024,Tallaght University Hospital,29,7,36,19,14,14,2
06/06/2024,HSE Dublin and Midlands Total,76,11,87,92,71,15,3
06/06/2024,National Rehabilitation Hospital,,,,,7,,
06/06/2024,St. Columcille's Hospital,,,,,3,,
06/06/2024,St Luke's General Hospital Kilkenny,8,2,10,35,8,,
06/06/2024,St. Michael's Hospital,,,,,4,,
06/06/2024,St. Vincent's University Hospital,24,0,24,50,28,2,2
06/06/2024,Tipperary University Hospital,4,0,4,6,13,1,
06/06/2024,UH Waterford,0,0,0,5,14,,
06/06/2024,Wexford General Hospital,4,7,11,17,10,4,
06/06/2024,HSE Dublin and South East Total,40,9,49,113,87,7,2
06/06/2024,Bantry General Hospital,,,,,4,,
06/06/2024,Cork University Hospital,20,6,26,19,32,1,
06/06/2024,Mallow General Hospital,,,,,2,,
06/06/2024,Mercy University Hospital,6,2,8,8,10,,
06/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
06/06/2024,UH Kerry,16,0,16,14,17,1,
06/06/2024,HSE South West Total,42,8,50,41,70,2,0
06/06/2024,Ennis Hospital,,,,,5,,
06/06/2024,Nenagh Hospital,,,,,3,,
06/06/2024,St. John's Hospital Limerick,,,,,2,,
06/06/2024,UH Limerick,22,33,55,42,10,13,6
06/06/2024,HSE Mid West Total,22,33,55,42,20,13,6
06/06/2024,Galway University Hospital,19,8,27,15,36,2,
06/06/2024,Letterkenny University Hospital,11,5,16,5,20,2,
06/06/2024,Mayo University Hospital,2,7,9,3,8,5,
06/06/2024,Portiuncula University Hospital,0,0,0,0,4,,
06/06/2024,Roscommon University Hospital,,,,,6,,
06/06/2024,Sligo University Hospital,4,16,20,12,24,7,
06/06/2024,HSE West and North West Total,36,36,72,35,98,16,0
06/06/2024,National Total,277,97,374,372,376,53,11
07/06/2024,Beaumont Hospital,0,0,0,0,6,,
07/06/2024,Cavan General Hospital,3,0,3,5,0,,
07/06/2024,Connolly Hospital,0,0,0,0,5,,
07/06/2024,Louth County Hospital,,,,,0,,
07/06/2024,Mater Misericordiae University Hospital,21,0,21,8,17,4,
07/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
07/06/2024,Our Lady of Lourdes Hospital,4,0,4,26,1,,
07/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
07/06/2024,HSE Dublin and North East Total,28,0,28,39,30,4,0
07/06/2024,CHI at Crumlin,3,0,3,0,3,,
07/06/2024,CHI at Tallaght,0,0,0,0,1,,
07/06/2024,CHI at Temple Street,0,0,0,0,4,,
07/06/2024,MRH Mullingar,1,0,1,0,0,,
07/06/2024,MRH Portlaoise,13,0,13,10,4,,
07/06/2024,MRH Tullamore,0,0,0,13,5,,
07/06/2024,Naas General Hospital,7,3,10,2,10,,
07/06/2024,St. James's Hospital,30,0,30,20,35,5,
07/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
07/06/2024,Tallaght University Hospital,18,5,23,19,14,6,
07/06/2024,HSE Dublin and Midlands Total,72,8,80,64,76,11,0
07/06/2024,National Rehabilitation Hospital,,,,,7,,
07/06/2024,St. Columcille's Hospital,,,,,4,,
07/06/2024,St Luke's General Hospital Kilkenny,4,0,4,38,7,,
07/06/2024,St. Michael's Hospital,,,,,4,,
07/06/2024,St. Vincent's University Hospital,8,0,8,50,25,3,
07/06/2024,Tipperary University Hospital,4,0,4,2,15,1,
07/06/2024,UH Waterford,0,0,0,0,15,,
07/06/2024,Wexford General Hospital,0,1,1,15,11,1,
07/06/2024,HSE Dublin and South East Total,16,1,17,105,88,5,0
07/06/2024,Bantry General Hospital,,,,,6,,
07/06/2024,Cork University Hospital,22,7,29,24,34,2,
07/06/2024,Mallow General Hospital,,,,,3,,
07/06/2024,Mercy University Hospital,11,0,11,9,9,,
07/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
07/06/2024,UH Kerry,14,7,21,14,23,3,
07/06/2024,HSE South West Total,47,14,61,47,80,5,0
07/06/2024,Ennis Hospital,,,,,5,,
07/06/2024,Nenagh Hospital,,,,,4,,
07/06/2024,St. John's Hospital Limerick,,,,,2,,
07/06/2024,UH Limerick,6,28,34,28,9,6,6
07/06/2024,HSE Mid West Total,6,28,34,28,20,6,6
07/06/2024,Galway University Hospital,24,12,36,15,38,2,2
07/06/2024,Letterkenny University Hospital,5,7,12,8,22,2,
07/06/2024,Mayo University Hospital,4,11,15,0,8,3,
07/06/2024,Portiuncula University Hospital,1,0,1,0,4,,
07/06/2024,Roscommon University Hospital,,,,,5,,
07/06/2024,Sligo University Hospital,2,12,14,12,27,7,
07/06/2024,HSE West and North West Total,36,42,78,35,104,14,2
07/06/2024,National Total,205,93,298,318,398,45,8
08/06/2024,Beaumont Hospital,10,0,10,0,8,,
08/06/2024,Cavan General Hospital,0,0,0,10,0,,
08/06/2024,Connolly Hospital,0,0,0,0,5,,
08/06/2024,Louth County Hospital,,,,,0,,
08/06/2024,Mater Misericordiae University Hospital,8,0,8,11,17,,
08/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
08/06/2024,Our Lady of Lourdes Hospital,0,0,0,6,1,,
08/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
08/06/2024,HSE Dublin and North East Total,18,0,18,27,32,0,0
08/06/2024,CHI at Crumlin,1,,1,0,3,,
08/06/2024,CHI at Tallaght,0,0,0,,1,,
08/06/2024,CHI at Temple Street,0,,0,,4,,
08/06/2024,MRH Mullingar,0,0,0,4,0,,
08/06/2024,MRH Portlaoise,0,0,0,10,6,,
08/06/2024,MRH Tullamore,0,0,0,0,4,,
08/06/2024,Naas General Hospital,3,4,7,4,8,,
08/06/2024,St. James's Hospital,9,0,9,20,38,1,
08/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
08/06/2024,Tallaght University Hospital,8,0,8,10,14,5,1
08/06/2024,HSE Dublin and Midlands Total,21,4,25,48,78,6,1
08/06/2024,National Rehabilitation Hospital,,,,,6,,
08/06/2024,St. Columcille's Hospital,,,,,3,,
08/06/2024,St Luke's General Hospital Kilkenny,0,0,0,0,8,,
08/06/2024,St. Michael's Hospital,,,,,4,,
08/06/2024,St. Vincent's University Hospital,3,0,3,50,24,,
08/06/2024,Tipperary University Hospital,1,0,1,0,14,,
08/06/2024,UH Waterford,0,0,0,0,16,,
08/06/2024,Wexford General Hospital,0,2,2,4,8,,
08/06/2024,HSE Dublin and South East Total,4,2,6,54,83,0,0
08/06/2024,Bantry General Hospital,,,,,6,,
08/06/2024,Cork University Hospital,9,0,9,10,34,1,
08/06/2024,Mallow General Hospital,,,,,5,,
08/06/2024,Mercy University Hospital,14,0,14,11,7,1,
08/06/2024,South Infirmary Victoria University Hospital,,,,,4,,
08/06/2024,UH Kerry,9,0,9,14,24,,
08/06/2024,HSE South West Total,32,0,32,35,80,2,0
08/06/2024,Ennis Hospital,,,,,5,,
08/06/2024,Nenagh Hospital,,,,,4,,
08/06/2024,St. John's Hospital Limerick,,,,,1,,
08/06/2024,UH Limerick,3,10,13,24,10,,
08/06/2024,HSE Mid West Total,3,10,13,24,20,0,0
08/06/2024,Galway University Hospital,5,0,5,20,37,,
08/06/2024,Letterkenny University Hospital,0,3,3,1,20,2,
08/06/2024,Mayo University Hospital,0,0,0,0,10,,
08/06/2024,Portiuncula University Hospital,0,0,0,0,4,,
08/06/2024,Roscommon University Hospital,,,,,5,,
08/06/2024,Sligo University Hospital,2,2,4,9,27,1,
08/06/2024,HSE West and North West Total,7,5,12,30,103,3,0
08/06/2024,National Total,85,21,106,218,396,11,1
09/06/2024,Beaumont Hospital,0,0,0,0,8,,
09/06/2024,Cavan General Hospital,4,0,4,10,0,,
09/06/2024,Connolly Hospital,0,0,0,0,5,,
09/06/2024,Louth County Hospital,,,,,0,,
09/06/2024,Mater Misericordiae University Hospital,9,0,9,12,17,,
09/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
09/06/2024,Our Lady of Lourdes Hospital,5,0,5,19,1,,
09/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
09/06/2024,HSE Dublin and North East Total,18,0,18,41,32,0,0
09/06/2024,CHI at Crumlin,1,,1,,3,,
09/06/2024,CHI at Tallaght,0,0,0,,1,,
09/06/2024,CHI at Temple Street,0,,0,,4,,
09/06/2024,MRH Mullingar,0,0,0,2,0,,
09/06/2024,MRH Portlaoise,2,0,2,10,6,,
09/06/2024,MRH Tullamore,0,0,0,0,4,,
09/06/2024,Naas General Hospital,14,4,18,7,8,1,
09/06/2024,St. James's Hospital,16,0,16,20,38,2,
09/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
09/06/2024,Tallaght University Hospital,12,0,12,10,14,4,
09/06/2024,HSE Dublin and Midlands Total,45,4,49,49,78,7,0
09/06/2024,National Rehabilitation Hospital,,,,,6,,
09/06/2024,St. Columcille's Hospital,,,,,3,,
09/06/2024,St Luke's General Hospital Kilkenny,0,0,0,27,8,,
09/06/2024,St. Michael's Hospital,,,,,4,,
09/06/2024,St. Vincent's University Hospital,10,0,10,50,24,,
09/06/2024,Tipperary University Hospital,9,0,9,0,14,,
09/06/2024,UH Waterford,0,0,0,0,16,,
09/06/2024,Wexford General Hospital,1,1,2,5,8,,
09/06/2024,HSE Dublin and South East Total,20,1,21,82,83,0,0
09/06/2024,Bantry General Hospital,,,,,6,,
09/06/2024,Cork University Hospital,12,3,15,10,34,2,
09/06/2024,Mallow General Hospital,,,,,5,,
09/06/2024,Mercy University Hospital,15,0,15,11,7,3,
09/06/2024,South Infirmary Victoria University Hospital,,,,,4,,
09/06/2024,UH Kerry,14,0,14,11,24,3,1
09/06/2024,HSE South West Total,41,3,44,32,80,8,1
09/06/2024,Ennis Hospital,,,,,5,,
09/06/2024,Nenagh Hospital,,,,,4,,
09/06/2024,St. John's Hospital Limerick,,,,,1,,
09/06/2024,UH Limerick,11,27,38,24,8,2,1
09/06/2024,HSE Mid West Total,11,27,38,24,18,2,1
09/06/2024,Galway University Hospital,20,4,24,1,37,1,
09/06/2024,Letterkenny University Hospital,1,2,3,1,20,2,
09/06/2024,Mayo University Hospital,0,0,0,0,10,,
09/06/2024,Portiuncula University Hospital,1,0,1,0,4,,
09/06/2024,Roscommon University Hospital,,,,,5,,
09/06/2024,Sligo University Hospital,7,4,11,11,27,2,
09/06/2024,HSE West and North West Total,29,10,39,13,103,5,0
09/06/2024,National Total,164,45,209,241,394,22,2
10/06/2024,Beaumont Hospital,0,0,0,2,8,,
10/06/2024,Cavan General Hospital,14,0,14,7,0,,
10/06/2024,Connolly Hospital,1,0,1,0,5,,
10/06/2024,Louth County Hospital,,,,,0,,
10/06/2024,Mater Misericordiae University Hospital,24,,24,17,17,1,1
10/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
10/06/2024,Our Lady of Lourdes Hospital,16,0,16,26,1,,
10/06/2024,Our Lady's Hospital Navan,3,0,3,4,0,,
10/06/2024,HSE Dublin and North East Total,58,0,58,56,32,1,1
10/06/2024,CHI at Crumlin,2,,2,0,3,,
10/06/2024,CHI at Tallaght,0,0,0,0,1,,
10/06/2024,CHI at Temple Street,0,0,0,0,4,,
10/06/2024,MRH Mullingar,1,0,1,7,0,,
10/06/2024,MRH Portlaoise,0,0,0,7,6,,
10/06/2024,MRH Tullamore,0,0,0,4,4,,
10/06/2024,Naas General Hospital,14,4,18,11,8,4,
10/06/2024,St. James's Hospital,32,0,32,20,38,9,2
10/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
10/06/2024,Tallaght University Hospital,22,0,22,22,14,6,
10/06/2024,HSE Dublin and Midlands Total,71,4,75,71,78,19,2
10/06/2024,National Rehabilitation Hospital,,,,,6,,
10/06/2024,St. Columcille's Hospital,,,,,3,,
10/06/2024,St Luke's General Hospital Kilkenny,6,0,6,42,8,,
10/06/2024,St. Michael's Hospital,,,,,4,,
10/06/2024,St. Vincent's University Hospital,21,0,21,50,24,3,1
10/06/2024,Tipperary University Hospital,9,0,9,7,14,,
10/06/2024,UH Waterford,0,0,0,0,16,,
10/06/2024,Wexford General Hospital,0,6,6,13,7,1,
10/06/2024,HSE Dublin and South East Total,36,6,42,112,82,4,1
10/06/2024,Bantry General Hospital,,,,,6,,
10/06/2024,Cork University Hospital,16,7,23,21,34,3,
10/06/2024,Mallow General Hospital,,,,,5,,
10/06/2024,Mercy University Hospital,20,6,26,11,7,11,4
10/06/2024,South Infirmary Victoria University Hospital,,,,,4,,
10/06/2024,UH Kerry,18,7,25,8,21,6,1
10/06/2024,HSE South West Total,54,20,74,40,77,20,5
10/06/2024,Ennis Hospital,,,,,5,,
10/06/2024,Nenagh Hospital,,,,,4,,
10/06/2024,St. John's Hospital Limerick,,,,,1,,
10/06/2024,UH Limerick,12,33,45,43,8,14,2
10/06/2024,HSE Mid West Total,12,33,45,43,18,14,2
10/06/2024,Galway University Hospital,25,14,39,21,37,13,4
10/06/2024,Letterkenny University Hospital,4,5,9,3,20,2,
10/06/2024,Mayo University Hospital,0,5,5,0,10,2,
10/06/2024,Portiuncula University Hospital,4,0,4,0,4,,
10/06/2024,Roscommon University Hospital,,,,,5,,
10/06/2024,Sligo University Hospital,10,7,17,12,27,2,
10/06/2024,HSE West and North West Total,43,31,74,36,103,19,4
10/06/2024,National Total,274,94,368,358,390,77,15
11/06/2024,Beaumont Hospital,7,0,7,2,13,,
11/06/2024,Cavan General Hospital,3,0,3,3,0,,
11/06/2024,Connolly Hospital,0,0,0,0,4,,
11/06/2024,Louth County Hospital,,,,,0,,
11/06/2024,Mater Misericordiae University Hospital,38,0,38,18,17,2,
11/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
11/06/2024,Our Lady of Lourdes Hospital,16,0,16,25,1,,
11/06/2024,Our Lady's Hospital Navan,3,0,3,3,0,,
11/06/2024,HSE Dublin and North East Total,67,0,67,51,36,2,0
11/06/2024,CHI at Crumlin,3,,3,,3,,
11/06/2024,CHI at Tallaght,0,0,0,,1,,
11/06/2024,CHI at Temple Street,1,0,1,0,4,,
11/06/2024,MRH Mullingar,4,0,4,0,0,,
11/06/2024,MRH Portlaoise,1,0,1,7,7,,
11/06/2024,MRH Tullamore,0,0,0,14,4,,
11/06/2024,Naas General Hospital,19,4,23,5,9,3,
11/06/2024,St. James's Hospital,15,0,15,20,36,,
11/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
11/06/2024,Tallaght University Hospital,20,0,20,18,16,5,
11/06/2024,HSE Dublin and Midlands Total,63,4,67,64,80,8,0
11/06/2024,National Rehabilitation Hospital,,,,,6,,
11/06/2024,St. Columcille's Hospital,,,,,3,,
11/06/2024,St Luke's General Hospital Kilkenny,10,0,10,42,7,,
11/06/2024,St. Michael's Hospital,,,,,4,,
11/06/2024,St. Vincent's University Hospital,20,0,20,50,22,2,
11/06/2024,Tipperary University Hospital,8,0,8,7,13,3,
11/06/2024,UH Waterford,0,0,0,0,16,,
